,Mean,Standard Deviation
TrainRMSE,0.20448510900506384,0.0007118510339724556
TestRMSE,0.07231816838357301,0.0025437154638083856
Time,22.411254533131917,0.6014793380557784
Epochs,1000.0,0.0
