,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.32105,0.00573,0.319,0.3231,0.31055,0.3344
TestRMSE,0.25803,0.00856,0.25496,0.26109,0.24268,0.27891
Step1,0.06412,0.01027,0.06044,0.06779,0.04478,0.07982
Step2,0.11757,0.00518,0.11572,0.11943,0.10984,0.13141
Step3,0.08323,0.00724,0.08064,0.08582,0.07164,0.10283
Step4,0.07617,0.00223,0.07537,0.07697,0.0715,0.08302
Step5,0.07552,0.00304,0.07443,0.0766,0.06665,0.08241
Step6,0.07304,0.0041,0.07157,0.07451,0.06614,0.08561
Step7,0.06426,0.00246,0.06338,0.06514,0.06023,0.07029
Step8,0.06106,0.00413,0.05958,0.06254,0.04752,0.07036
Step9,0.08822,0.00648,0.0859,0.09054,0.07781,0.10038
Step10,0.09471,0.00757,0.092,0.09742,0.07867,0.11004
