,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.31853,0.25867,0.04478,0.11899,0.09097,0.07406,0.07437,0.08159,0.06626,0.05608,0.08237,0.10235
Exp2,0.31767,0.25263,0.05413,0.11276,0.08624,0.07358,0.08066,0.07102,0.06444,0.05592,0.08225,0.09865
Exp3,0.32179,0.26879,0.07284,0.12175,0.08933,0.07729,0.07976,0.07669,0.06023,0.06399,0.09754,0.0932
Exp4,0.31447,0.25013,0.07308,0.11048,0.0722,0.07683,0.07589,0.07847,0.06105,0.06413,0.08693,0.08117
Exp5,0.31932,0.25857,0.06936,0.11204,0.09381,0.0797,0.07315,0.07122,0.06516,0.06295,0.07955,0.09687
Exp6,0.3305,0.27891,0.07792,0.13141,0.08546,0.07586,0.07732,0.0749,0.06843,0.05937,0.10038,0.10733
Exp7,0.31917,0.26436,0.04604,0.12214,0.09553,0.07375,0.07459,0.07946,0.06493,0.06117,0.08136,0.10876
Exp8,0.31726,0.26537,0.05123,0.12072,0.10283,0.07156,0.07349,0.07427,0.06662,0.06148,0.07929,0.11004
Exp9,0.31575,0.2539,0.05373,0.1117,0.08813,0.07581,0.0755,0.07549,0.06755,0.0562,0.08463,0.09647
Exp10,0.32162,0.2624,0.07982,0.11552,0.07779,0.07593,0.07646,0.07111,0.06576,0.06379,0.09916,0.09051
Exp11,0.31541,0.25102,0.06001,0.11821,0.07799,0.07618,0.07177,0.06614,0.06345,0.06219,0.09259,0.08693
Exp12,0.32689,0.2517,0.07375,0.1146,0.07164,0.07767,0.07584,0.07263,0.06054,0.06229,0.08728,0.08617
Exp13,0.32216,0.25733,0.07717,0.11591,0.08194,0.07667,0.07525,0.06887,0.06209,0.06394,0.0914,0.08679
Exp14,0.32955,0.26577,0.07476,0.12497,0.07871,0.07735,0.07728,0.07233,0.06392,0.06269,0.09143,0.09834
Exp15,0.31679,0.249,0.05523,0.11409,0.076,0.07563,0.07357,0.06921,0.06803,0.0599,0.08771,0.09124
Exp16,0.32325,0.26333,0.07093,0.11926,0.0883,0.07457,0.07616,0.07279,0.06129,0.06393,0.08944,0.09893
Exp17,0.32449,0.26008,0.07028,0.11926,0.08081,0.07664,0.07606,0.07401,0.06365,0.06022,0.08939,0.09564
Exp18,0.31738,0.24808,0.07209,0.1142,0.07218,0.07809,0.07317,0.06774,0.06308,0.06417,0.08815,0.07867
Exp19,0.31454,0.25311,0.05576,0.12084,0.08777,0.0715,0.0713,0.07066,0.06315,0.04752,0.08272,0.10185
Exp20,0.31238,0.24619,0.05128,0.11073,0.08356,0.07382,0.0766,0.07116,0.0631,0.05762,0.08271,0.09063
Exp21,0.32626,0.26496,0.07835,0.12434,0.0751,0.07796,0.07849,0.0726,0.06444,0.06108,0.09516,0.09227
Exp22,0.32346,0.26307,0.06074,0.12494,0.08041,0.07551,0.07658,0.07076,0.06529,0.06387,0.09107,0.10117
Exp23,0.31946,0.24268,0.06034,0.10984,0.0763,0.07785,0.07114,0.0684,0.06339,0.05934,0.07889,0.08833
Exp24,0.32423,0.26435,0.07318,0.11256,0.08163,0.08302,0.08241,0.06908,0.07029,0.07036,0.09453,0.08893
Exp25,0.31055,0.24483,0.05426,0.11648,0.08323,0.07717,0.06665,0.07152,0.06223,0.05469,0.07781,0.08988
Exp26,0.31984,0.2685,0.06123,0.12186,0.08855,0.07565,0.07542,0.08561,0.06747,0.06258,0.09611,0.09595
Exp27,0.32855,0.25642,0.06697,0.11296,0.07969,0.07787,0.07671,0.07165,0.06334,0.06199,0.09271,0.09287
Exp28,0.32926,0.26831,0.06624,0.12305,0.08995,0.07586,0.07908,0.07429,0.06151,0.06375,0.09123,0.1033
Exp29,0.3344,0.26208,0.06717,0.11735,0.08124,0.07537,0.07585,0.07369,0.06213,0.06585,0.09432,0.09925
Exp30,0.31661,0.24623,0.05088,0.11426,0.07967,0.07633,0.07499,0.07392,0.06506,0.05867,0.0785,0.08881
