,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.08543,0.01442,0.08027,0.09059,0.06849,0.11751
TestRMSE,0.08684,0.01332,0.08208,0.09161,0.07003,0.11668
Step1,0.00749,0.0021,0.00674,0.00824,0.00525,0.012
Step2,0.01197,0.00296,0.01091,0.01303,0.00887,0.01904
Step3,0.01672,0.0036,0.01543,0.01801,0.01276,0.02516
Step4,0.0216,0.00411,0.02013,0.02307,0.01697,0.03102
Step5,0.0262,0.00452,0.02458,0.02782,0.02099,0.03634
Step6,0.03007,0.00483,0.02835,0.0318,0.02425,0.04096
Step7,0.03319,0.00496,0.03142,0.03497,0.02694,0.04419
Step8,0.03536,0.00502,0.03357,0.03716,0.0288,0.04615
Step9,0.03636,0.005,0.03457,0.03815,0.02968,0.04716
Step10,0.03636,0.00498,0.03458,0.03815,0.02972,0.04698
