,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.13104,0.1314,0.00851,0.01383,0.02121,0.02874,0.03621,0.04279,0.04932,0.0545,0.05823,0.06157
Exp2,0.13249,0.13292,0.00858,0.01355,0.02131,0.02936,0.03643,0.04401,0.05002,0.05499,0.05886,0.06195
Exp3,0.13146,0.13187,0.00706,0.01422,0.0215,0.02885,0.0355,0.04331,0.04924,0.05474,0.05902,0.06168
Exp4,0.13279,0.13317,0.00871,0.01489,0.02194,0.02975,0.03708,0.04422,0.04993,0.05486,0.0588,0.06148
Exp5,0.13101,0.13137,0.0076,0.01337,0.02116,0.0281,0.03591,0.04292,0.04946,0.05439,0.05877,0.0616
Exp6,0.13228,0.13268,0.00778,0.01425,0.02166,0.02899,0.03646,0.04364,0.04975,0.05485,0.059,0.0619
Exp7,0.13156,0.13193,0.00784,0.01387,0.02118,0.02905,0.03641,0.04327,0.04946,0.05462,0.0587,0.06153
Exp8,0.13299,0.13344,0.00886,0.01473,0.02224,0.02918,0.03689,0.04364,0.05034,0.05517,0.059,0.06198
Exp9,0.13274,0.13315,0.00738,0.01412,0.0216,0.02915,0.03667,0.04401,0.04986,0.05532,0.0591,0.06196
Exp10,0.13062,0.13102,0.0078,0.01345,0.02127,0.0289,0.03622,0.04283,0.04926,0.05431,0.05812,0.06112
Exp11,0.13264,0.13305,0.00758,0.01399,0.02121,0.0293,0.0368,0.0436,0.05007,0.05523,0.0591,0.06193
Exp12,0.1314,0.13189,0.00755,0.01343,0.02118,0.02841,0.03624,0.04322,0.04967,0.05469,0.05876,0.06171
Exp13,0.13231,0.13268,0.00818,0.01509,0.02173,0.02947,0.03665,0.04375,0.04983,0.05506,0.05861,0.06134
Exp14,0.13226,0.1327,0.00816,0.01378,0.02141,0.0289,0.03687,0.04316,0.04984,0.05477,0.0592,0.06203
Exp15,0.13229,0.13268,0.00838,0.01381,0.02139,0.029,0.03699,0.04358,0.04974,0.05483,0.05897,0.06179
Exp16,0.13064,0.131,0.00715,0.01328,0.02082,0.02882,0.03564,0.04298,0.04898,0.05442,0.05853,0.06137
Exp17,0.132,0.1324,0.00833,0.01381,0.02114,0.02913,0.03619,0.04342,0.04948,0.05481,0.05895,0.06206
Exp18,0.13253,0.13297,0.00836,0.01454,0.02177,0.02904,0.03698,0.04368,0.04981,0.05509,0.05888,0.06184
Exp19,0.13181,0.13229,0.00775,0.01396,0.02138,0.02932,0.03671,0.04368,0.04936,0.05472,0.05873,0.06157
Exp20,0.13101,0.13141,0.00706,0.01332,0.02067,0.02846,0.03603,0.04346,0.04927,0.05487,0.05844,0.06134
Exp21,0.1313,0.1317,0.00835,0.01413,0.02162,0.02868,0.03597,0.04321,0.04958,0.05427,0.05853,0.0616
Exp22,0.13137,0.13181,0.00672,0.01341,0.0206,0.02838,0.03622,0.04347,0.04946,0.05464,0.05885,0.06182
Exp23,0.13149,0.13186,0.00789,0.01363,0.02085,0.02886,0.03651,0.04307,0.04975,0.05461,0.05863,0.06155
Exp24,0.13335,0.13381,0.00818,0.01445,0.02161,0.02986,0.03714,0.04414,0.05023,0.05527,0.05924,0.06209
Exp25,0.13121,0.1316,0.00831,0.0141,0.0208,0.02907,0.03628,0.04325,0.04964,0.05438,0.05835,0.06132
Exp26,0.13041,0.13066,0.00806,0.01432,0.02102,0.02882,0.03608,0.04296,0.04905,0.05435,0.05809,0.06039
Exp27,0.13233,0.13275,0.00827,0.01439,0.02134,0.02882,0.03656,0.04344,0.0497,0.05499,0.05922,0.06193
Exp28,0.13289,0.13334,0.0081,0.01477,0.02166,0.02913,0.03723,0.04376,0.04996,0.05515,0.05899,0.06214
Exp29,0.1321,0.13252,0.00794,0.01432,0.02127,0.029,0.03632,0.04344,0.05,0.05494,0.05879,0.0618
Exp30,0.13229,0.13271,0.00733,0.01364,0.02119,0.02913,0.03665,0.04361,0.04974,0.05498,0.05899,0.06208
