,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.42855,0.28289,0.09378,0.10481,0.09022,0.09821,0.08914,0.07928,0.05519,0.09786,0.08902,0.08767
Exp2,0.48439,0.32953,0.08476,0.12613,0.08939,0.08658,0.13508,0.09245,0.09878,0.08269,0.12722,0.10216
Exp3,0.41026,0.26484,0.08278,0.08592,0.0916,0.09945,0.06364,0.07624,0.062,0.07762,0.09934,0.08959
Exp4,0.41693,0.28259,0.09928,0.09034,0.07677,0.08036,0.09387,0.06965,0.07792,0.10151,0.113,0.08175
Exp5,0.41071,0.25231,0.08599,0.09041,0.07239,0.08729,0.0693,0.07396,0.0609,0.06837,0.09769,0.08387
Exp6,0.40538,0.26729,0.09015,0.09449,0.07522,0.07775,0.08259,0.0786,0.05164,0.08165,0.09573,0.10577
Exp7,0.43263,0.27991,0.08528,0.09586,0.08778,0.08115,0.07476,0.07251,0.05898,0.07833,0.08942,0.13834
Exp8,0.44242,0.29008,0.08833,0.10299,0.07552,0.07362,0.0977,0.07613,0.07383,0.08166,0.1066,0.12565
Exp9,0.45476,0.29854,0.0927,0.10036,0.10132,0.08181,0.07305,0.08305,0.06761,0.12544,0.10356,0.10118
Exp10,0.41442,0.27669,0.09125,0.10317,0.08838,0.11576,0.06605,0.07068,0.05404,0.08523,0.09152,0.09195
Exp11,0.44926,0.29261,0.10114,0.09457,0.07445,0.08956,0.08932,0.08017,0.08265,0.11548,0.10396,0.08663
Exp12,0.42549,0.29761,0.08293,0.09814,0.08077,0.06611,0.11672,0.08298,0.06608,0.07096,0.12137,0.12855
Exp13,0.40244,0.27166,0.08198,0.09115,0.07775,0.0855,0.09062,0.07067,0.07028,0.08066,0.10321,0.10055
Exp14,0.41207,0.26625,0.08082,0.08292,0.09255,0.08021,0.08408,0.08592,0.06596,0.08001,0.10855,0.07413
Exp15,0.40994,0.26186,0.08893,0.09376,0.07229,0.07392,0.07,0.08005,0.06799,0.10167,0.09534,0.07631
Exp16,0.3708,0.25344,0.07813,0.09954,0.06964,0.08398,0.07676,0.06631,0.05022,0.07233,0.09513,0.09605
Exp17,0.45471,0.31024,0.08021,0.09598,0.08576,0.11597,0.06283,0.08169,0.12739,0.08172,0.12347,0.10501
Exp18,0.55353,0.35799,0.11799,0.12765,0.08344,0.08514,0.13655,0.12078,0.1031,0.10073,0.13477,0.10752
Exp19,0.38727,0.27818,0.08503,0.10061,0.08073,0.09139,0.07878,0.07915,0.08052,0.0777,0.10335,0.09742
Exp20,0.57092,0.36651,0.12999,0.14542,0.09135,0.11607,0.13808,0.06833,0.11225,0.12276,0.11325,0.10117
Exp21,0.41478,0.2584,0.07912,0.08915,0.07093,0.08021,0.06764,0.07166,0.0788,0.09205,0.09823,0.08398
Exp22,0.39759,0.26332,0.09037,0.09369,0.07824,0.07977,0.08626,0.07534,0.0807,0.0689,0.08531,0.09085
Exp23,0.38947,0.27632,0.09445,0.09131,0.0819,0.06412,0.0948,0.06784,0.0789,0.09791,0.09049,0.10337
Exp24,0.41412,0.25855,0.0719,0.09115,0.07611,0.08627,0.08257,0.07958,0.06994,0.0728,0.09968,0.08282
Exp25,0.40492,0.275,0.09109,0.09587,0.07095,0.06678,0.07778,0.08853,0.07699,0.07978,0.11138,0.1003
Exp26,0.39784,0.27156,0.08837,0.09458,0.08192,0.07589,0.07788,0.08775,0.07061,0.08154,0.09725,0.09829
Exp27,0.3797,0.26278,0.08708,0.09208,0.07392,0.07378,0.09034,0.0758,0.07103,0.07733,0.09508,0.09005
Exp28,0.43507,0.28766,0.07646,0.09646,0.08986,0.09911,0.09951,0.08494,0.06856,0.07853,0.10945,0.09865
Exp29,0.3914,0.26027,0.09779,0.08587,0.07814,0.07849,0.07679,0.0721,0.06212,0.08399,0.10069,0.07995
Exp30,0.39177,0.26656,0.08709,0.09469,0.08717,0.08285,0.08028,0.07017,0.07533,0.07378,0.09253,0.09483
