,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.11822,0.1178,0.01549,0.01984,0.02216,0.02887,0.02812,0.03113,0.06701,0.04428,0.04832,0.03704
Exp2,0.1641,0.15451,0.00912,0.01477,0.02589,0.03574,0.04119,0.06223,0.05743,0.0602,0.06669,0.06844
Exp3,0.14684,0.14418,0.01652,0.01567,0.0255,0.03374,0.02623,0.04302,0.05342,0.07972,0.05744,0.05861
Exp4,0.14988,0.13814,0.02063,0.02248,0.02371,0.03427,0.03891,0.04302,0.04841,0.05345,0.06155,0.06373
Exp5,0.13914,0.1293,0.00931,0.01715,0.0222,0.04614,0.03793,0.04129,0.04047,0.05275,0.0613,0.04893
Exp6,0.16762,0.15482,0.00818,0.01561,0.02437,0.03246,0.04124,0.04921,0.05654,0.06392,0.0699,0.07563
Exp7,0.17531,0.16589,0.0092,0.01725,0.02549,0.03174,0.04604,0.07904,0.05495,0.06231,0.06847,0.07431
Exp8,0.17632,0.17032,0.02456,0.01532,0.03642,0.03127,0.04167,0.06993,0.06864,0.06252,0.07152,0.07421
Exp9,0.16615,0.17228,0.01415,0.01318,0.01836,0.02717,0.07994,0.04636,0.04468,0.10313,0.05593,0.0627
Exp10,0.1653,0.16195,0.0305,0.03427,0.0259,0.03544,0.04433,0.04819,0.05421,0.08073,0.06349,0.0665
Exp11,0.18951,0.18972,0.00701,0.01513,0.02295,0.03182,0.04996,0.11353,0.05555,0.06594,0.06876,0.08143
Exp12,0.18742,0.18663,0.01361,0.02893,0.03677,0.04193,0.047,0.05177,0.06246,0.07628,0.07743,0.10046
Exp13,0.16748,0.15548,0.00692,0.01569,0.02344,0.0325,0.04095,0.04835,0.05678,0.06361,0.0727,0.07552
Exp14,0.16703,0.15474,0.00751,0.01366,0.02283,0.03209,0.04122,0.04875,0.05627,0.06319,0.07137,0.07629
Exp15,0.17268,0.16972,0.02799,0.04336,0.02859,0.05762,0.04961,0.04675,0.06553,0.05645,0.07248,0.068
Exp16,0.1161,0.10291,0.01324,0.0137,0.02367,0.02431,0.02768,0.03266,0.0332,0.04997,0.04073,0.04457
Exp17,0.20588,0.21382,0.02948,0.01851,0.03124,0.0326,0.05809,0.08225,0.10323,0.08011,0.06967,0.102
Exp18,0.15444,0.15675,0.02296,0.01962,0.02082,0.03217,0.03974,0.0554,0.04924,0.06695,0.06466,0.08032
Exp19,0.11973,0.1054,0.01021,0.02321,0.02743,0.02163,0.02432,0.02932,0.04074,0.03878,0.0502,0.04597
Exp20,0.16278,0.15397,0.01646,0.01711,0.02358,0.03093,0.03862,0.048,0.05265,0.05711,0.06824,0.08453
Exp21,0.10717,0.098,0.02178,0.02157,0.0261,0.03063,0.02998,0.03121,0.03125,0.03503,0.03852,0.03853
Exp22,0.16755,0.15494,0.00871,0.01982,0.02084,0.02986,0.04363,0.04641,0.05286,0.06175,0.07293,0.07893
Exp23,0.16051,0.15108,0.0082,0.03101,0.04765,0.02957,0.04606,0.04288,0.04802,0.0624,0.05919,0.07063
Exp24,0.12379,0.10781,0.01121,0.02807,0.02006,0.02523,0.02995,0.03383,0.03691,0.0415,0.04657,0.04874
Exp25,0.16951,0.15706,0.01285,0.01729,0.0255,0.03406,0.04182,0.04967,0.0575,0.06457,0.07042,0.07578
Exp26,0.13996,0.13849,0.00883,0.01656,0.02133,0.02828,0.03563,0.04446,0.05056,0.0573,0.06161,0.0685
Exp27,0.16533,0.15137,0.00862,0.02207,0.02345,0.03656,0.03948,0.04501,0.06451,0.06006,0.06526,0.06966
Exp28,0.15292,0.14059,0.02165,0.01768,0.02022,0.02858,0.03376,0.04117,0.04625,0.05378,0.0686,0.07201
Exp29,0.12101,0.1166,0.02304,0.01885,0.02024,0.02665,0.0281,0.03126,0.03366,0.04975,0.05331,0.05806
Exp30,0.11872,0.10395,0.00712,0.01763,0.01835,0.02365,0.02732,0.03259,0.03781,0.04056,0.04634,0.05019
