,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.0923,0.08483,0.01786,0.02092,0.02214,0.02306,0.02337,0.02469,0.02671,0.02947,0.03362,0.03938
Exp2,0.06811,0.07113,0.0125,0.01557,0.01678,0.01997,0.01959,0.02228,0.02384,0.02476,0.02758,0.03405
Exp3,0.06389,0.06996,0.01168,0.01484,0.01728,0.02048,0.02119,0.02319,0.02403,0.02424,0.02614,0.03138
Exp4,0.05374,0.06354,0.01114,0.01329,0.01594,0.01749,0.01901,0.02022,0.02117,0.02258,0.02528,0.02843
Exp5,0.04898,0.06311,0.01166,0.01332,0.01555,0.01685,0.01841,0.01983,0.02097,0.02261,0.02557,0.0284
Exp6,0.04683,0.06205,0.01166,0.01295,0.01453,0.01536,0.01688,0.01862,0.02032,0.02258,0.02617,0.02933
Exp7,0.04495,0.059,0.00966,0.01139,0.01278,0.01351,0.01491,0.01688,0.01912,0.02195,0.026,0.02969
Exp8,0.04308,0.05467,0.00934,0.01106,0.01217,0.01258,0.01353,0.01523,0.01735,0.02007,0.02403,0.02787
Exp9,0.04206,0.0535,0.01038,0.01201,0.01297,0.01318,0.01396,0.01552,0.01716,0.01916,0.02243,0.02584
Exp10,0.03455,0.0444,0.00819,0.00977,0.01028,0.01022,0.01045,0.01182,0.01363,0.01588,0.01943,0.02313
Exp11,0.04581,0.05323,0.00926,0.0115,0.01241,0.01276,0.01341,0.01509,0.01724,0.01963,0.0229,0.02616
Exp12,0.02708,0.0348,0.00622,0.00817,0.0089,0.00864,0.00808,0.00851,0.00981,0.01175,0.01506,0.01879
Exp13,0.03579,0.04239,0.00826,0.00987,0.01057,0.01054,0.01055,0.01147,0.01309,0.01511,0.01795,0.02107
Exp14,0.02532,0.03273,0.00555,0.00748,0.00819,0.00771,0.0071,0.00768,0.00926,0.01139,0.01446,0.01801
Exp15,0.02857,0.03637,0.00712,0.0089,0.00968,0.00942,0.00904,0.00949,0.01074,0.01254,0.01516,0.01834
Exp16,0.0256,0.03319,0.00578,0.00753,0.00836,0.00795,0.00735,0.00783,0.00943,0.01167,0.01463,0.018
Exp17,0.02472,0.0333,0.00639,0.00842,0.00943,0.00907,0.00819,0.00806,0.00914,0.01111,0.01389,0.01715
Exp18,0.02435,0.03295,0.00625,0.00821,0.00934,0.00907,0.00818,0.00794,0.00896,0.01096,0.01375,0.01704
Exp19,0.04797,0.0522,0.01077,0.01295,0.01425,0.01467,0.01483,0.01543,0.01668,0.0184,0.02052,0.02296
Exp20,0.02134,0.03183,0.00621,0.00777,0.00915,0.00929,0.00873,0.00844,0.00897,0.01036,0.01266,0.01576
Exp21,0.03721,0.04495,0.00958,0.01176,0.0133,0.01384,0.01374,0.01366,0.014,0.01489,0.0165,0.01888
Exp22,0.03428,0.04226,0.00876,0.01077,0.01228,0.01279,0.01269,0.01267,0.01313,0.01413,0.01582,0.01829
Exp23,0.0231,0.03358,0.00695,0.00865,0.01012,0.01042,0.00991,0.00944,0.00961,0.01064,0.01262,0.01554
Exp24,0.02263,0.03284,0.00679,0.00856,0.01004,0.01025,0.00954,0.00883,0.00894,0.01017,0.01247,0.01566
Exp25,0.0221,0.03257,0.00666,0.00832,0.00977,0.00997,0.00923,0.00853,0.00875,0.01018,0.01266,0.01594
Exp26,0.02283,0.03276,0.0063,0.00796,0.00949,0.00969,0.00892,0.00824,0.0087,0.01047,0.01324,0.01667
Exp27,0.02141,0.03081,0.0056,0.00611,0.0074,0.00762,0.00705,0.00692,0.00817,0.01062,0.01377,0.01735
Exp28,0.03053,0.03839,0.00889,0.01008,0.01094,0.01095,0.0105,0.01042,0.0112,0.01278,0.01503,0.01791
Exp29,0.0206,0.03156,0.00636,0.0078,0.00928,0.00963,0.00903,0.00831,0.00843,0.00982,0.01234,0.01566
Exp30,0.02195,0.03234,0.00659,0.0081,0.00954,0.00986,0.00927,0.0086,0.00876,0.01014,0.01259,0.01582
