,Mean,Standard Deviation,Min,Max
TrainRMSE,0.5420292127900439,0.007564529619820208,0.5263971597641959,0.559921967549909
TestRMSE,0.5329658383866163,0.00788918431885847,0.5198577293701081,0.5526154051924794
