,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.52473,0.00755,0.52203,0.52743,0.51497,0.5424
TestRMSE,0.51619,0.00751,0.5135,0.51888,0.50614,0.53417
Step1,0.08851,0.02606,0.07919,0.09784,0.05462,0.14652
Step2,0.15146,0.00436,0.1499,0.15302,0.14478,0.15919
Step3,0.15771,0.00081,0.15742,0.158,0.15636,0.15939
Step4,0.16431,0.00296,0.16325,0.16537,0.15972,0.17058
Step5,0.17178,0.00041,0.17163,0.17192,0.17109,0.17265
Step6,0.17303,0.00084,0.17273,0.17333,0.17179,0.17464
Step7,0.17636,0.00072,0.17611,0.17662,0.17517,0.17806
Step8,0.17683,0.00025,0.17674,0.17692,0.17638,0.17741
Step9,0.17519,0.00025,0.1751,0.17528,0.17484,0.17575
Step10,0.17506,0.00055,0.17486,0.17525,0.17404,0.17675
