,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.19297,0.0051,0.19114,0.19479,0.18407,0.20483
TestRMSE,0.09365,0.0024,0.09279,0.09451,0.08757,0.09846
Step1,0.01731,0.00111,0.01691,0.0177,0.01436,0.01923
Step2,0.0202,0.0009,0.01987,0.02052,0.01846,0.02244
Step3,0.02283,0.00089,0.02251,0.02315,0.02087,0.0245
Step4,0.02577,0.00101,0.02541,0.02613,0.02346,0.02825
Step5,0.02841,0.0012,0.02798,0.02884,0.02579,0.03087
Step6,0.03041,0.00108,0.03003,0.0308,0.02829,0.03275
Step7,0.03273,0.00104,0.03235,0.0331,0.03079,0.03574
Step8,0.03485,0.00103,0.03448,0.03522,0.03314,0.03778
Step9,0.03711,0.00095,0.03677,0.03745,0.03433,0.03848
Step10,0.03844,0.00091,0.03812,0.03877,0.03586,0.03997
