,Mean,Standard Deviation,Min,Max
TrainRMSE,0.05447661975401107,0.0009086179948182726,0.05249379188669368,0.057702607892973365
TestRMSE,0.15301585621048475,0.002457509133824515,0.14561521387725387,0.15777886006542424
