,TrainRMSE,TestRMSE,Time,Epochs
Exp1,0.09925147719509089,0.03627390021957084,23.823596000671387,1000.0
Exp2,0.09908048372596075,0.036226513002303735,23.023656845092773,1000.0
Exp3,0.09912261066010668,0.03677410182930608,24.151728868484497,1000.0
Exp4,0.09936160920672361,0.0360288908003756,22.74952507019043,1000.0
Exp5,0.09846301012547806,0.03806529835928455,22.600330114364624,1000.0
Exp6,0.09851761316580783,0.0362432611711851,24.125141143798828,1000.0
Exp7,0.09868193234950819,0.036714903422752625,23.81600308418274,1000.0
Exp8,0.09820610129316787,0.03593789291020024,24.354664087295532,1000.0
Exp9,0.09920846011114233,0.03612791007924878,23.807268142700195,1000.0
Exp10,0.09915294885740814,0.03624773950469348,22.216788053512573,1000.0
Exp11,0.09863242305003352,0.036385184979760725,23.8159282207489,1000.0
Exp12,0.09894476901656948,0.036699530409442745,24.51948595046997,1000.0
Exp13,0.09817643736568789,0.03682325312936477,23.7254319190979,1000.0
Exp14,0.09826036260541182,0.03655544887116777,24.44592785835266,1000.0
Exp15,0.09976172423239049,0.03640889486453363,24.18248701095581,1000.0
Exp16,0.09875101311614448,0.03667800059270748,22.462324142456055,1000.0
Exp17,0.09898743826083713,0.037431854763907146,24.74533200263977,1000.0
Exp18,0.09898026308027413,0.038458062932036116,23.401503086090088,1000.0
Exp19,0.09937166326169332,0.03640725686036929,23.841404914855957,1000.0
Exp20,0.09855078827752554,0.03719171913267666,23.70528507232666,1000.0
Exp21,0.0993370097390371,0.037158304646723525,24.839146852493286,1000.0
Exp22,0.09904133669601972,0.03638674213122587,23.709540843963623,1000.0
Exp23,0.09894030573328219,0.036723292734383184,23.864756107330322,1000.0
Exp24,0.09920139239897338,0.03620402795544411,27.353091955184937,1000.0
Exp25,0.09865181489591618,0.03607696237417909,24.903016805648804,1000.0
Exp26,0.09827663403464638,0.038507767824131,24.18045711517334,1000.0
Exp27,0.09968102988145029,0.036020068157106615,23.358486890792847,1000.0
Exp28,0.09923561545608997,0.037059647033834214,23.192649126052856,1000.0
Exp29,0.09892457024244865,0.03637916602187804,24.016502141952515,1000.0
Exp30,0.09930764770502423,0.03715808898073133,24.52453088760376,1000.0
