,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.181,0.2576,0.089,0.075,0.0587,0.1317,0.1319
Test-RMSE-Mean,0.1822,0.2599,0.0897,0.0765,0.0602,0.1321,0.1323
Step1-RMSE-Mean,0.0162,0.0485,0.0056,0.0052,0.0059,0.0078,0.0079
Step2-RMSE-Mean,0.0256,0.0621,0.008,0.0083,0.0076,0.0142,0.014
Step3-RMSE-Mean,0.0398,0.0686,0.012,0.0117,0.0103,0.0214,0.0213
Step4-RMSE-Mean,0.0457,0.0745,0.0178,0.0155,0.0133,0.029,0.029
Step5-RMSE-Mean,0.052,0.0785,0.0238,0.0202,0.0168,0.0365,0.0365
Step6-RMSE-Mean,0.0581,0.088,0.0298,0.0244,0.02,0.0434,0.0435
Step7-RMSE-Mean,0.068,0.0912,0.0341,0.0288,0.0227,0.0496,0.0497
Step8-RMSE-Mean,0.0727,0.0937,0.0381,0.0318,0.0248,0.0547,0.0548
Step9-RMSE-Mean,0.0761,0.0963,0.0406,0.0343,0.0261,0.0586,0.0588
Step10-RMSE-Mean,0.0777,0.099,0.0418,0.0359,0.0271,0.0615,0.0617
