,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.2576,0.01491,0.25227,0.26294,0.216,0.30053
TestRMSE,0.25986,0.01514,0.25445,0.26528,0.21774,0.30353
Step1,0.04852,0.01698,0.04244,0.05459,0.01619,0.08607
Step2,0.06208,0.01435,0.05694,0.06721,0.0374,0.09884
Step3,0.06862,0.01291,0.064,0.07324,0.04939,0.10379
Step4,0.0745,0.01382,0.06955,0.07944,0.0475,0.10813
Step5,0.07851,0.00701,0.076,0.08102,0.0663,0.09588
Step6,0.08796,0.00872,0.08484,0.09108,0.07009,0.106
Step7,0.09122,0.00851,0.08818,0.09427,0.07317,0.10914
Step8,0.09368,0.00604,0.09152,0.09584,0.07805,0.10357
Step9,0.09632,0.00867,0.09322,0.09942,0.07805,0.11401
Step10,0.09903,0.00713,0.09648,0.10158,0.0867,0.11525
