,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.11615,0.11774,0.01093,0.01599,0.02224,0.02823,0.03371,0.03896,0.0437,0.04751,0.05086,0.05281
Exp2,0.11337,0.11498,0.00904,0.01442,0.02115,0.02706,0.03326,0.03863,0.04323,0.0468,0.04971,0.05121
Exp3,0.1076,0.10938,0.00602,0.01171,0.01838,0.0248,0.03155,0.03721,0.04184,0.04542,0.0477,0.04867
Exp4,0.1019,0.10376,0.00471,0.00859,0.01501,0.02176,0.02891,0.0351,0.04024,0.04412,0.04624,0.0469
Exp5,0.0962,0.09804,0.00229,0.00618,0.01263,0.01899,0.02671,0.03304,0.03846,0.04223,0.0442,0.04503
Exp6,0.09291,0.09522,0.0021,0.00639,0.01173,0.0173,0.0253,0.0317,0.03727,0.04114,0.04335,0.04449
Exp7,0.08094,0.083,0.00289,0.00602,0.01017,0.01508,0.02118,0.02708,0.03222,0.03611,0.03825,0.03908
Exp8,0.07889,0.08054,0.00273,0.00487,0.00861,0.01453,0.02016,0.02597,0.0311,0.03519,0.0375,0.03843
Exp9,0.07732,0.07888,0.00376,0.00487,0.00829,0.01356,0.01972,0.02537,0.03034,0.03447,0.03679,0.03791
Exp10,0.07464,0.0762,0.00336,0.00531,0.00792,0.01247,0.01852,0.02412,0.02925,0.03327,0.03576,0.03719
Exp11,0.07224,0.07356,0.00308,0.00473,0.00714,0.01145,0.01755,0.02292,0.02811,0.03213,0.03477,0.03651
Exp12,0.07009,0.07159,0.00392,0.00544,0.00744,0.01108,0.01655,0.02177,0.02709,0.03107,0.03396,0.03607
Exp13,0.0676,0.06892,0.00404,0.00572,0.00751,0.01068,0.01555,0.02054,0.02581,0.0298,0.03283,0.03514
Exp14,0.06452,0.06575,0.00382,0.00564,0.00715,0.01002,0.01429,0.01911,0.02433,0.02842,0.03159,0.03403
Exp15,0.06307,0.06421,0.00376,0.00563,0.00721,0.00963,0.0135,0.01823,0.02345,0.02774,0.03111,0.03363
Exp16,0.06014,0.06127,0.00378,0.00554,0.00656,0.009,0.01228,0.01706,0.02195,0.02651,0.03,0.03254
Exp17,0.07813,0.08013,0.00829,0.01434,0.01776,0.02048,0.02428,0.02587,0.03031,0.03063,0.033,0.03475
Exp18,0.06123,0.06228,0.00442,0.00703,0.00888,0.01123,0.01435,0.01804,0.02251,0.02628,0.02947,0.03174
Exp19,0.05797,0.05955,0.00708,0.00913,0.01064,0.01189,0.01432,0.01715,0.02103,0.02426,0.02734,0.02968
Exp20,0.06024,0.06111,0.00452,0.00723,0.00921,0.01151,0.01456,0.01799,0.02206,0.02565,0.02867,0.0307
Exp21,0.07842,0.08023,0.00812,0.01426,0.01809,0.02204,0.02584,0.02729,0.03037,0.02982,0.032,0.03326
Exp22,0.07758,0.07937,0.00792,0.01376,0.01763,0.02168,0.02559,0.02718,0.03002,0.02963,0.03176,0.03293
Exp23,0.09747,0.09962,0.00997,0.01771,0.0227,0.02807,0.03346,0.03484,0.0388,0.03711,0.03853,0.03881
Exp24,0.05775,0.05862,0.0045,0.00689,0.00896,0.01126,0.01433,0.01759,0.02127,0.02461,0.02732,0.02903
Exp25,0.05083,0.05196,0.00393,0.00453,0.00607,0.00799,0.01095,0.01472,0.01872,0.02244,0.02526,0.0271
Exp26,0.07821,0.08005,0.00836,0.01393,0.01845,0.02236,0.02651,0.02813,0.03067,0.02978,0.03112,0.03184
Exp27,0.05384,0.05468,0.00381,0.00547,0.00741,0.0098,0.0129,0.01629,0.01999,0.02331,0.02584,0.02742
Exp28,0.06323,0.06498,0.00683,0.0104,0.01387,0.01665,0.01973,0.02174,0.02478,0.02534,0.02683,0.02758
Exp29,0.04832,0.04913,0.00364,0.00416,0.00572,0.00763,0.01052,0.01414,0.01783,0.02125,0.02375,0.02546
Exp30,0.04903,0.04986,0.00312,0.00372,0.00536,0.00764,0.01085,0.01448,0.01825,0.0217,0.02415,0.02571
