,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.10877,0.00254,0.10786,0.10968,0.10397,0.11363
TestRMSE,0.10305,0.00224,0.10225,0.10385,0.09852,0.10738
Step1,0.01858,0.00239,0.01772,0.01944,0.01428,0.02295
Step2,0.02177,0.00146,0.02125,0.02229,0.01887,0.02589
Step3,0.02501,0.00147,0.02449,0.02554,0.0229,0.02791
Step4,0.02901,0.00117,0.02859,0.02943,0.02682,0.03122
Step5,0.03136,0.00105,0.03098,0.03173,0.02983,0.03402
Step6,0.03394,0.00124,0.0335,0.03438,0.03151,0.03589
Step7,0.03605,0.00115,0.03564,0.03646,0.03406,0.03899
Step8,0.03817,0.00117,0.03775,0.03859,0.03557,0.04056
Step9,0.04036,0.00141,0.03986,0.04086,0.03816,0.04271
Step10,0.0424,0.00124,0.04195,0.04284,0.03967,0.04508
