,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.47277,0.01072,0.46893,0.4766,0.45997,0.51209
TestRMSE,0.47791,0.00761,0.47518,0.48063,0.46839,0.50755
Step1,0.06503,0.00495,0.06326,0.06681,0.06123,0.0851
Step2,0.0859,0.01072,0.08206,0.08973,0.08027,0.13546
Step3,0.14111,0.00582,0.13903,0.14319,0.1289,0.15921
Step4,0.15186,0.0062,0.14964,0.15407,0.14438,0.16602
Step5,0.16013,0.00177,0.15949,0.16076,0.15774,0.16787
Step6,0.16736,0.00126,0.16691,0.16781,0.16568,0.17241
Step7,0.17206,0.00181,0.17142,0.17271,0.16931,0.17575
Step8,0.17182,0.00084,0.17152,0.17212,0.17058,0.17472
Step9,0.17522,0.00073,0.17496,0.17548,0.17344,0.17591
Step10,0.17371,0.00053,0.17352,0.1739,0.17275,0.17511
