,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.547,0.567,0.4542,0.4014,0.3235,0.5247,0.5269
Test-RMSE-Mean,0.5378,0.5578,0.4516,0.4127,0.3294,0.5162,0.5182
Step1-RMSE-Mean,0.1465,0.1725,0.0287,0.0241,0.0226,0.0885,0.095
Step2-RMSE-Mean,0.1606,0.1711,0.0682,0.0448,0.0454,0.1515,0.1527
Step3-RMSE-Mean,0.161,0.1707,0.092,0.061,0.0517,0.1577,0.1578
Step4-RMSE-Mean,0.1714,0.176,0.1386,0.0925,0.0609,0.1643,0.165
Step5-RMSE-Mean,0.1731,0.1769,0.1584,0.1287,0.0694,0.1718,0.1716
Step6-RMSE-Mean,0.1758,0.1777,0.1642,0.1538,0.0868,0.173,0.1731
Step7-RMSE-Mean,0.1786,0.1814,0.1684,0.1593,0.112,0.1764,0.1766
Step8-RMSE-Mean,0.1781,0.1805,0.1707,0.1697,0.1371,0.1768,0.1768
Step9-RMSE-Mean,0.1757,0.1788,0.1723,0.1737,0.1524,0.1752,0.1751
Step10-RMSE-Mean,0.1762,0.1773,0.1756,0.1733,0.1689,0.1751,0.1749
