,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.06207,0.03571,0.04929,0.07485,0.0374,0.18165
TestRMSE,0.06242,0.03787,0.04887,0.07597,0.03461,0.1904
Step1,0.01201,0.00327,0.01084,0.01318,0.00687,0.01991
Step2,0.01296,0.0045,0.01135,0.01457,0.00718,0.02793
Step3,0.0132,0.00613,0.01101,0.0154,0.00588,0.0357
Step4,0.01552,0.00741,0.01286,0.01817,0.00665,0.04515
Step5,0.0169,0.0087,0.01378,0.02001,0.00921,0.04859
Step6,0.01804,0.01131,0.014,0.02209,0.00909,0.05649
Step7,0.02012,0.01374,0.0152,0.02503,0.00804,0.06722
Step8,0.02236,0.0166,0.01642,0.0283,0.00893,0.07484
Step9,0.02531,0.01945,0.01835,0.03227,0.01042,0.08691
Step10,0.02856,0.02148,0.02087,0.03625,0.01319,0.09239
