,Mean,Standard Deviation,Min,Max
TrainRMSE,0.07824486475358451,0.001740112265435139,0.07539525106629329,0.08259484696740467
TestRMSE,0.19034107048226084,0.0029968439942915774,0.1839360013848536,0.19706824704416165
