,TrainRMSE,TestRMSE,Time,Epochs
Exp1,0.06350720404241095,0.029859572985068108,24.198559999465942,1000.0
Exp2,0.06276096482050425,0.03022756410204806,22.330426931381226,1000.0
Exp3,0.06438597488079877,0.033019964472799236,22.152287006378174,1000.0
Exp4,0.06467600229947579,0.03372050723689031,22.239476919174194,1000.0
Exp5,0.06402741138168913,0.031630476116469006,22.17778515815735,1000.0
Exp6,0.06469197988110853,0.030732149001695394,22.088451147079468,1000.0
Exp7,0.06254156929110569,0.03039976175954013,22.17377805709839,1000.0
Exp8,0.06506547398219975,0.029305517602457257,22.151029109954834,1000.0
Exp9,0.06405881890470669,0.032662189022830974,22.137796878814697,1000.0
Exp10,0.06276580940671088,0.031591684939379104,22.48133397102356,1000.0
Exp11,0.06364182065053117,0.029542315191065642,22.675414085388184,1000.0
Exp12,0.06620358240205894,0.030190252189951416,22.190206289291382,1000.0
Exp13,0.0633606747906467,0.03126774092484241,22.16037082672119,1000.0
Exp14,0.0649855804347922,0.0286072938539956,22.351291179656982,1000.0
Exp15,0.06552572677165847,0.032138340359964296,22.551131010055542,1000.0
Exp16,0.06360537890091691,0.03036399915469437,22.182786226272583,1000.0
Exp17,0.06546329868351494,0.029131964441085977,22.17319083213806,1000.0
Exp18,0.06269307531488932,0.029758553181607462,22.067578077316284,1000.0
Exp19,0.06463016690158666,0.02977464631978554,22.280011892318726,1000.0
Exp20,0.0636186680914433,0.03039021114363911,22.95742392539978,1000.0
Exp21,0.06379371014214989,0.030761837181182083,22.527443885803223,1000.0
Exp22,0.06319634781244435,0.030328800050654296,22.094560146331787,1000.0
Exp23,0.06326647401919196,0.03143792919327633,22.747545957565308,1000.0
Exp24,0.0632543656200607,0.030799082662390544,22.925572872161865,1000.0
Exp25,0.0653739777076067,0.030604337372501993,24.333838939666748,1000.0
Exp26,0.06375278337153699,0.03090191198405514,24.98141384124756,1000.0
Exp27,0.06395800352494979,0.03285780752851462,24.703999996185303,1000.0
Exp28,0.06504308410685615,0.03158531923692154,24.65241503715515,1000.0
Exp29,0.06422120263448305,0.030218116559808612,24.64442014694214,1000.0
Exp30,0.062469510853346864,0.030382368911475926,24.937415838241577,1000.0
