,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.1932,0.2761,0.0242,0.03,0.0225,0.0538,0.0621
Test-RMSE-Mean,0.1809,0.2649,0.0254,0.031,0.0234,0.0542,0.0624
Step1-RMSE-Mean,0.0183,0.0336,0.0025,0.0043,0.0051,0.0113,0.012
Step2-RMSE-Mean,0.0206,0.0432,0.0033,0.0054,0.0044,0.0129,0.013
Step3-RMSE-Mean,0.0253,0.0547,0.0042,0.0064,0.0046,0.0143,0.0132
Step4-RMSE-Mean,0.0334,0.0651,0.0051,0.0074,0.0052,0.0151,0.0155
Step5-RMSE-Mean,0.0481,0.0787,0.0064,0.0079,0.0059,0.0155,0.0169
Step6-RMSE-Mean,0.0527,0.0866,0.0073,0.0094,0.0068,0.0164,0.018
Step7-RMSE-Mean,0.0613,0.0944,0.0089,0.0107,0.0079,0.0171,0.0201
Step8-RMSE-Mean,0.0678,0.1027,0.0101,0.0125,0.009,0.0186,0.0224
Step9-RMSE-Mean,0.0885,0.1116,0.0117,0.0133,0.01,0.0199,0.0253
Step10-RMSE-Mean,0.0859,0.1178,0.0129,0.0146,0.011,0.0226,0.0286
