,TrainRMSE,TestRMSE,Time,Epochs
Exp1,0.04355100447744266,0.03613061819058082,24.321622848510742,1000.0
Exp2,0.03794684043081121,0.033828265964421116,23.691837310791016,1000.0
Exp3,0.04080720463138775,0.0341806182985564,23.04812479019165,1000.0
Exp4,0.04591205668540692,0.041232072355159834,24.46724510192871,1000.0
Exp5,0.05542107641198894,0.04400957143175247,24.046518087387085,1000.0
Exp6,0.03958503867258097,0.037033113119021285,22.371099948883057,1000.0
Exp7,0.04080512478562533,0.0349251757562427,22.386393070220947,1000.0
Exp8,0.03406480515329926,0.039018301827794234,22.270904779434204,1000.0
Exp9,0.03364191682857425,0.03360110556766617,25.34613013267517,1000.0
Exp10,0.04418515717642677,0.037256504884923526,24.05440092086792,1000.0
Exp11,0.03800286203975295,0.03565102586166853,23.491530895233154,1000.0
Exp12,0.035923958825281724,0.033044127660565185,24.413949966430664,1000.0
Exp13,0.03396001715143944,0.034440929354444864,23.743113040924072,1000.0
Exp14,0.03789989958851166,0.03369805208257879,23.85467028617859,1000.0
Exp15,0.04915293965046474,0.04085644735138281,23.876975059509277,1000.0
Exp16,0.04003108305542743,0.035074699229749734,23.848347187042236,1000.0
Exp17,0.0412747851199051,0.03873957253472474,24.155369997024536,1000.0
Exp18,0.04694872544368457,0.043337744818633034,23.671129941940308,1000.0
Exp19,0.04507573929508715,0.03916085101253203,23.196300983428955,1000.0
Exp20,0.03323565471971649,0.03529598236795776,23.785935163497925,1000.0
Exp21,0.038066599949077726,0.03351942203937334,24.03165102005005,1000.0
Exp22,0.04202368874526062,0.03829077751553473,24.136513710021973,1000.0
Exp23,0.04649881832823738,0.03820717868334686,23.918495178222656,1000.0
Exp24,0.04425828804767277,0.04262394018840563,22.628701210021973,1000.0
Exp25,0.0493841805859934,0.03926969535617841,22.873602628707886,1000.0
Exp26,0.04189704562628822,0.039304883393599666,22.79376220703125,1000.0
Exp27,0.03374179975072329,0.037209621396745836,22.43594789505005,1000.0
Exp28,0.04505426330721407,0.04074716977116644,22.753934144973755,1000.0
Exp29,0.04351951751062025,0.043843759901973395,22.856251001358032,1000.0
Exp30,0.04721800579740377,0.03875147120044034,23.90300178527832,1000.0
