,TrainRMSE,TestRMSE,Time,Epochs
Exp1,0.08768003112859298,0.03006160893114648,18.729517221450806,1000.0
Exp2,0.07430975448433938,0.029982126191420194,17.626769304275513,1000.0
Exp3,0.0775933076807844,0.03241913746560137,17.618220806121826,1000.0
Exp4,0.06787771778793276,0.0278699726496285,17.648907899856567,1000.0
Exp5,0.06149194300337493,0.029207718105902544,18.15639615058899,1000.0
Exp6,0.061551956449010244,0.027596420846815607,19.87302279472351,1000.0
Exp7,0.08043341504574636,0.02912235477895966,19.50959014892578,1000.0
Exp8,0.08398927621194795,0.03243751053275319,19.70908212661743,1000.0
Exp9,0.06887470161625543,0.028070173842618493,19.543838024139404,1000.0
Exp10,0.0789567066989201,0.030666902017668463,19.271073818206787,1000.0
Exp11,0.08605541863844018,0.03144191278479424,17.578027963638306,1000.0
Exp12,0.07640297067720762,0.02917813241579901,17.73223876953125,1000.0
Exp13,0.08745904622575423,0.03048936487233229,17.453516960144043,1000.0
Exp14,0.06531896538739433,0.028970956871248253,17.596025228500366,1000.0
Exp15,0.07755885062679807,0.028676161025532842,19.466887950897217,1000.0
Exp16,0.07393876727210326,0.027566400447476453,21.92737889289856,1000.0
Exp17,0.08500535152559742,0.02874227991326524,21.20646619796753,1000.0
Exp18,0.07870205653701678,0.031412008984783954,21.4923996925354,1000.0
Exp19,0.14707688689868642,0.02872013176288628,22.343286991119385,1000.0
Exp20,0.08255070421463008,0.028975058874142406,19.694256067276,1000.0
Exp21,0.07800573515779165,0.030479821762709487,21.207082986831665,1000.0
Exp22,0.07876078511381082,0.02885034226130734,19.806519985198975,1000.0
Exp23,0.06987248282402744,0.02930423624411046,21.40985894203186,1000.0
Exp24,0.07509810282991185,0.02790198287210238,22.360321044921875,1000.0
Exp25,0.08245721754529795,0.03162236224803034,19.678056240081787,1000.0
Exp26,0.07093278992246464,0.02746043824051252,21.19612216949463,1000.0
Exp27,0.0679662632865534,0.029820274147556867,17.716824054718018,1000.0
Exp28,0.06940096782982283,0.027785250008398984,18.83876085281372,1000.0
Exp29,0.0874987629390782,0.03278413196289892,17.657258987426758,1000.0
Exp30,0.07797332818350593,0.02842661667661482,19.52560019493103,1000.0
