,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.45424,0.0199,0.44712,0.46136,0.43417,0.51336
TestRMSE,0.45164,0.01443,0.44648,0.45681,0.43778,0.50063
Step1,0.0287,0.01261,0.02419,0.03321,0.01956,0.0707
Step2,0.06825,0.01619,0.06246,0.07404,0.05987,0.13262
Step3,0.09198,0.01844,0.08538,0.09858,0.07888,0.15329
Step4,0.13862,0.01235,0.1342,0.14304,0.12174,0.1596
Step5,0.15844,0.00265,0.1575,0.15939,0.15386,0.16771
Step6,0.16417,0.00207,0.16342,0.16491,0.16136,0.17014
Step7,0.1684,0.00295,0.16734,0.16946,0.16427,0.17659
Step8,0.17073,0.00232,0.1699,0.17156,0.16875,0.1769
Step9,0.17227,0.00129,0.17181,0.17273,0.17074,0.17506
Step10,0.17565,0.00135,0.17516,0.17613,0.17366,0.17764
