,Mean,Standard Deviation,Min,Max
TrainRMSE,0.06768938060803083,0.03590416581505092,0.03253740605437258,0.13230716228528394
TestRMSE,0.1883498058317658,0.004717308940964513,0.18016935413290194,0.19412867806157785
Step1,0.04320027275681847,0.009315303971006175,0.03525097795864781,0.06038713793097601
Step2,0.07132481927588709,0.008102342289182109,0.06170471355981287,0.08548025808333087
Step3,0.0654976264370171,0.005247641148876596,0.05667446178161027,0.07129043951924338
Step4,0.05949288712527938,0.005760368198993341,0.04898367962009794,0.06415802926486319
Step5,0.06591485137675117,0.003469961452866758,0.06051368238963162,0.07132978823058829
Step6,0.06591686287523048,0.0021050765720433454,0.06277680172612048,0.06809277498249443
Step7,0.06244937531712129,0.004194602686265778,0.05446401881284246,0.06556552316299856
Step8,0.05457975355313519,0.0070159681818313755,0.04142966483343104,0.061122877984379514
Step9,0.04380600529836051,0.0014341937067164539,0.041449810180528374,0.045824997812476766
Step10,0.05291939337097926,0.01133462560871442,0.038205363811552276,0.06391036880093519
