,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.132,0.13231,0.00775,0.01486,0.02216,0.02906,0.03689,0.0437,0.04967,0.05478,0.05838,0.06119
Exp2,0.13168,0.13199,0.00804,0.01417,0.02156,0.02895,0.03685,0.04331,0.04956,0.05459,0.05827,0.06154
Exp3,0.13088,0.1313,0.00787,0.01398,0.02067,0.02866,0.03602,0.04316,0.04911,0.05432,0.05855,0.0615
Exp4,0.13299,0.13341,0.00861,0.01479,0.02183,0.02975,0.03716,0.04386,0.04994,0.05507,0.05906,0.06185
Exp5,0.13289,0.1334,0.00759,0.01472,0.02182,0.02994,0.03642,0.04407,0.05021,0.0549,0.05902,0.06213
Exp6,0.13086,0.13121,0.00769,0.0141,0.02057,0.02859,0.03609,0.04318,0.04947,0.05442,0.05851,0.06099
Exp7,0.13059,0.13095,0.00732,0.01397,0.02115,0.02858,0.036,0.04304,0.04936,0.05433,0.05818,0.06094
Exp8,0.13049,0.13077,0.00729,0.01382,0.02138,0.02849,0.0359,0.04287,0.04929,0.05424,0.05815,0.06091
Exp9,0.13242,0.13283,0.00736,0.01423,0.02153,0.02894,0.03699,0.0436,0.0499,0.05503,0.059,0.06179
Exp10,0.13169,0.13207,0.00795,0.01528,0.02192,0.02906,0.03644,0.04359,0.04953,0.05441,0.05848,0.06132
Exp11,0.13206,0.13246,0.00814,0.01429,0.02129,0.02889,0.03643,0.04333,0.04989,0.05497,0.05883,0.06173
Exp12,0.13262,0.13298,0.00822,0.0147,0.02158,0.02916,0.03707,0.04374,0.04997,0.05497,0.05888,0.06173
Exp13,0.13302,0.1335,0.00784,0.01401,0.02196,0.02935,0.03703,0.04412,0.05018,0.05536,0.05912,0.06185
Exp14,0.13216,0.13258,0.00748,0.0135,0.02088,0.02896,0.03667,0.04338,0.04991,0.05494,0.05914,0.0619
Exp15,0.1324,0.13283,0.00776,0.01433,0.02139,0.0291,0.03659,0.04375,0.0499,0.05495,0.05896,0.06193
Exp16,0.1317,0.13205,0.00754,0.01413,0.02128,0.02898,0.0363,0.04341,0.04967,0.05474,0.0587,0.06146
Exp17,0.13128,0.13164,0.00772,0.01396,0.02174,0.02899,0.03652,0.04331,0.04958,0.05436,0.05829,0.06117
Exp18,0.13025,0.13061,0.00778,0.01409,0.0212,0.02862,0.03578,0.04273,0.04873,0.05416,0.05826,0.06101
Exp19,0.13166,0.13199,0.00768,0.01425,0.02146,0.02907,0.03657,0.04353,0.04951,0.05462,0.05847,0.06139
Exp20,0.13267,0.1331,0.00827,0.01469,0.02193,0.02925,0.03691,0.0438,0.04989,0.0549,0.05897,0.0619
Exp21,0.13245,0.13283,0.00801,0.01444,0.02164,0.02916,0.03671,0.04353,0.04974,0.05502,0.05902,0.06185
Exp22,0.13172,0.1321,0.00792,0.01392,0.02097,0.02858,0.03603,0.04346,0.04978,0.05495,0.05885,0.06156
Exp23,0.13204,0.13245,0.0073,0.01422,0.02071,0.02901,0.03653,0.04329,0.04978,0.05504,0.05903,0.06178
Exp24,0.13134,0.13167,0.00744,0.01363,0.02115,0.02886,0.03646,0.0434,0.04945,0.05449,0.05861,0.06126
Exp25,0.13281,0.13327,0.00779,0.01422,0.02146,0.02916,0.03688,0.04372,0.04994,0.05524,0.05915,0.06222
Exp26,0.13081,0.13113,0.00677,0.01371,0.02119,0.02841,0.03627,0.04306,0.04918,0.05424,0.05831,0.06144
Exp27,0.13144,0.13178,0.00817,0.01344,0.02102,0.02907,0.03604,0.04356,0.04939,0.05475,0.05845,0.0615
Exp28,0.13053,0.13084,0.00769,0.01412,0.02178,0.02924,0.03652,0.04312,0.04904,0.0538,0.05768,0.06092
Exp29,0.13193,0.13244,0.00765,0.01415,0.02094,0.02832,0.0363,0.0434,0.04983,0.05516,0.05907,0.06186
Exp30,0.13007,0.13036,0.00805,0.014,0.0216,0.02843,0.03627,0.04252,0.04908,0.0541,0.05786,0.06044
