,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.02252,0.00862,0.01943,0.0256,0.01052,0.04944
TestRMSE,0.02342,0.00865,0.02032,0.02652,0.01234,0.05098
Step1,0.00511,0.00427,0.00358,0.00663,0.00235,0.02173
Step2,0.00438,0.00326,0.00321,0.00555,0.00199,0.01765
Step3,0.00465,0.00269,0.00368,0.00561,0.00212,0.01619
Step4,0.00518,0.00258,0.00426,0.00611,0.00236,0.01497
Step5,0.00593,0.00242,0.00507,0.0068,0.00273,0.01345
Step6,0.00682,0.00238,0.00597,0.00767,0.00333,0.0128
Step7,0.0079,0.0024,0.00704,0.00876,0.00411,0.0132
Step8,0.00898,0.00252,0.00808,0.00988,0.00496,0.01415
Step9,0.00995,0.00278,0.00896,0.01095,0.00572,0.01577
Step10,0.01095,0.00344,0.00971,0.01218,0.00632,0.01901
