,Mean,Standard Deviation,Min,Max
TrainRMSE,0.17969980049753806,0.023725231777491484,0.11599181747057434,0.23773323094966503
TestRMSE,0.16741434714755205,0.02387094804195708,0.09696141034955826,0.22533970769653172
