,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.31629,0.21253,0.01549,0.02751,0.04788,0.06295,0.06592,0.06316,0.07433,0.08607,0.07665,0.1038
Exp2,0.33394,0.22247,0.03064,0.03111,0.04195,0.04342,0.06075,0.07306,0.08129,0.09018,0.09323,0.10715
Exp3,0.31627,0.2131,0.02156,0.04084,0.0425,0.05277,0.05714,0.06807,0.07263,0.08542,0.09461,0.09627
Exp4,0.32877,0.22157,0.03103,0.03012,0.04556,0.05081,0.06659,0.06855,0.08133,0.09421,0.08916,0.09996
Exp5,0.32572,0.22034,0.02001,0.04462,0.03719,0.04369,0.07345,0.07859,0.08867,0.07819,0.08535,0.10017
Exp6,0.28236,0.19086,0.01705,0.0266,0.03302,0.03857,0.04893,0.05533,0.06796,0.07772,0.08953,0.09339
Exp7,0.33937,0.23005,0.03394,0.03945,0.04996,0.0533,0.06345,0.07062,0.08107,0.08807,0.09655,0.11052
Exp8,0.33002,0.22204,0.02592,0.03651,0.04683,0.05314,0.06071,0.07019,0.07683,0.08775,0.09652,0.10367
Exp9,0.34409,0.23146,0.02573,0.03339,0.05018,0.05521,0.0669,0.08289,0.08417,0.08798,0.10147,0.09882
Exp10,0.35449,0.24114,0.05137,0.05027,0.05853,0.06794,0.06736,0.07397,0.08381,0.09095,0.09349,0.10439
Exp11,0.29688,0.1994,0.02505,0.0288,0.03594,0.04815,0.05611,0.05787,0.07102,0.08522,0.08338,0.09455
Exp12,0.32264,0.21422,0.01669,0.03158,0.03328,0.0436,0.05306,0.06796,0.07491,0.08303,0.09445,0.1129
Exp13,0.32018,0.21902,0.02869,0.03942,0.04223,0.05359,0.05891,0.07366,0.08004,0.08416,0.09487,0.09773
Exp14,0.35007,0.23472,0.03724,0.03679,0.05132,0.05061,0.0697,0.06552,0.08903,0.09358,0.09474,0.11112
Exp15,0.30382,0.20352,0.02937,0.02657,0.02894,0.04708,0.05233,0.05248,0.07526,0.07135,0.10577,0.09676
Exp16,0.31901,0.21843,0.04095,0.04246,0.04625,0.05093,0.05333,0.06401,0.08147,0.09567,0.08423,0.09836
Exp17,0.30172,0.20828,0.02187,0.03131,0.05246,0.05396,0.05158,0.06828,0.06932,0.07603,0.09321,0.09829
Exp18,0.30888,0.20724,0.0213,0.03651,0.0421,0.04801,0.06239,0.05752,0.07045,0.08884,0.08869,0.09572
Exp19,0.33357,0.22481,0.0338,0.0314,0.04946,0.05413,0.06914,0.07797,0.07269,0.08236,0.10076,0.09979
Exp20,0.33419,0.22307,0.03903,0.03266,0.04318,0.06101,0.07574,0.07122,0.06897,0.08597,0.08928,0.10324
Exp21,0.3276,0.21669,0.01637,0.02974,0.04153,0.05867,0.05867,0.0695,0.07537,0.08551,0.0976,0.09922
Exp22,0.34479,0.22856,0.02464,0.03896,0.0439,0.05494,0.06563,0.06761,0.07811,0.09428,0.10223,0.10416
Exp23,0.30188,0.20797,0.0226,0.03037,0.03601,0.05133,0.0642,0.0567,0.07592,0.0774,0.08351,0.10873
Exp24,0.339,0.22958,0.03281,0.0415,0.05207,0.05255,0.06445,0.07338,0.08137,0.09453,0.09417,0.10232
Exp25,0.33739,0.23136,0.03574,0.0454,0.05279,0.05939,0.06037,0.07393,0.07963,0.09166,0.09655,0.10344
Exp26,0.3199,0.21308,0.02605,0.03387,0.04398,0.0502,0.05765,0.06684,0.07643,0.08322,0.09437,0.09828
Exp27,0.33249,0.22141,0.02165,0.03731,0.05232,0.04802,0.06029,0.07577,0.07975,0.07773,0.10011,0.10157
Exp28,0.33486,0.22344,0.02921,0.03549,0.04571,0.05564,0.06014,0.071,0.07515,0.09171,0.09371,0.10551
Exp29,0.3003,0.21092,0.04633,0.04015,0.0405,0.04711,0.05376,0.05491,0.08068,0.08012,0.09984,0.08982
Exp30,0.28806,0.19479,0.01985,0.02562,0.03573,0.04492,0.05085,0.06124,0.0662,0.07862,0.08569,0.09672
