,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.32295,0.01801,0.31651,0.3294,0.28236,0.35449
TestRMSE,0.21787,0.01158,0.21373,0.22201,0.19086,0.24114
Step1,0.02807,0.0088,0.02492,0.03122,0.01549,0.05137
Step2,0.03521,0.00611,0.03303,0.0374,0.02562,0.05027
Step3,0.04411,0.00689,0.04164,0.04657,0.02894,0.05853
Step4,0.05185,0.00618,0.04964,0.05407,0.03857,0.06794
Step5,0.06098,0.0067,0.05859,0.06338,0.04893,0.07574
Step6,0.06773,0.0075,0.06504,0.07041,0.05248,0.08289
Step7,0.07713,0.00568,0.07509,0.07916,0.0662,0.08903
Step8,0.08558,0.0063,0.08333,0.08784,0.07135,0.09567
Step9,0.09312,0.00645,0.09081,0.09543,0.07665,0.10577
Step10,0.10121,0.00534,0.0993,0.10312,0.08982,0.1129
