,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.18748,0.00309,0.18638,0.18859,0.18085,0.19576
TestRMSE,0.13423,0.00115,0.13382,0.13464,0.13207,0.13715
Step1,0.0132,0.00105,0.01282,0.01358,0.0105,0.01499
Step2,0.02119,0.0008,0.0209,0.02148,0.01987,0.0228
Step3,0.02847,0.00051,0.02828,0.02865,0.02705,0.02931
Step4,0.03459,0.00056,0.03439,0.03479,0.03353,0.03575
Step5,0.03946,0.00049,0.03929,0.03964,0.03847,0.04033
Step6,0.04311,0.00065,0.04288,0.04334,0.04167,0.04451
Step7,0.0463,0.0006,0.04609,0.04652,0.04514,0.04776
Step8,0.05029,0.00064,0.05006,0.05052,0.04919,0.05198
Step9,0.05644,0.00071,0.05619,0.05669,0.05506,0.05797
Step10,0.06411,0.00073,0.06385,0.06437,0.06295,0.06587
