,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.19318,0.03475,0.18074,0.20562,0.11736,0.27329
TestRMSE,0.18087,0.03326,0.16896,0.19277,0.11312,0.25834
Step1,0.01827,0.01189,0.01402,0.02252,0.00419,0.04327
Step2,0.02059,0.01278,0.01602,0.02517,0.00698,0.04465
Step3,0.02533,0.01197,0.02105,0.02961,0.01086,0.05408
Step4,0.03335,0.0133,0.02859,0.03811,0.00905,0.07362
Step5,0.04811,0.02008,0.04093,0.0553,0.02325,0.09847
Step6,0.05268,0.02114,0.04512,0.06025,0.02205,0.11168
Step7,0.06132,0.01779,0.05495,0.06769,0.02501,0.10404
Step8,0.06782,0.01627,0.062,0.07364,0.02863,0.10819
Step9,0.08846,0.01667,0.08249,0.09443,0.0583,0.11527
Step10,0.08586,0.01804,0.0794,0.09232,0.04816,0.12702
