,FNN-Adam,FNN-SGD,LSTM,BD-LSTM,ED-LSTM,RNN,CNN
Train-RMSE-Mean,0.1546,0.3757,0.0416,0.0281,0.0374,0.1088,0.1089
Test-RMSE-Mean,0.1473,0.4314,0.0488,0.0349,0.0427,0.103,0.1031
Step1-RMSE-Mean,0.0148,0.0467,0.008,0.0038,0.0085,0.0186,0.0188
Step2-RMSE-Mean,0.0202,0.0666,0.0086,0.0047,0.0082,0.0218,0.0224
Step3-RMSE-Mean,0.0252,0.091,0.0099,0.0061,0.0098,0.025,0.0253
Step4-RMSE-Mean,0.0322,0.106,0.0117,0.0072,0.0112,0.029,0.0285
Step5-RMSE-Mean,0.04,0.1257,0.0135,0.0084,0.0128,0.0314,0.0315
Step6-RMSE-Mean,0.049,0.1424,0.0155,0.01,0.0141,0.0339,0.0338
Step7-RMSE-Mean,0.0527,0.1572,0.017,0.012,0.0151,0.036,0.0361
Step8-RMSE-Mean,0.0603,0.1664,0.0185,0.0142,0.0159,0.0382,0.0382
Step9-RMSE-Mean,0.0621,0.1818,0.0204,0.0157,0.0167,0.0404,0.0402
Step10-RMSE-Mean,0.0673,0.1881,0.0225,0.0178,0.018,0.0424,0.0425
