,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.18215,0.15561,0.0207,0.02757,0.03356,0.03946,0.04395,0.0474,0.05159,0.05813,0.06651,0.07549
Exp2,0.1793,0.15364,0.02005,0.02691,0.03319,0.0388,0.04331,0.04668,0.05099,0.05734,0.06581,0.07481
Exp3,0.17769,0.15292,0.01966,0.02657,0.03297,0.03854,0.04308,0.04653,0.05082,0.05711,0.06554,0.07456
Exp4,0.17626,0.15334,0.01939,0.02638,0.03294,0.03857,0.04313,0.04678,0.05117,0.0574,0.06573,0.07473
Exp5,0.17484,0.15314,0.01917,0.0262,0.03286,0.03845,0.04321,0.04688,0.0511,0.05727,0.0656,0.07469
Exp6,0.17412,0.15234,0.01895,0.02604,0.03275,0.03839,0.04309,0.04684,0.05098,0.05695,0.06508,0.07413
Exp7,0.17344,0.15223,0.01871,0.02591,0.03265,0.03838,0.04304,0.04692,0.05102,0.05691,0.065,0.07411
Exp8,0.173,0.15174,0.01871,0.02593,0.03269,0.0385,0.04297,0.0469,0.05094,0.05667,0.0646,0.07366
Exp9,0.17255,0.15204,0.01851,0.02581,0.03258,0.03838,0.04292,0.04686,0.05103,0.05687,0.06491,0.07406
Exp10,0.17225,0.15147,0.01854,0.02586,0.03262,0.03845,0.04292,0.04687,0.05092,0.05659,0.06444,0.0735
Exp11,0.17195,0.15187,0.01839,0.02578,0.03255,0.0384,0.04287,0.04688,0.05109,0.05685,0.06476,0.07386
Exp12,0.17165,0.15175,0.01847,0.0259,0.03267,0.03858,0.043,0.04706,0.05113,0.05672,0.06449,0.07352
Exp13,0.17102,0.15181,0.01842,0.02595,0.03269,0.03854,0.04296,0.04696,0.05107,0.05673,0.06458,0.0737
Exp14,0.17065,0.15159,0.01835,0.02578,0.03247,0.03828,0.04274,0.04675,0.05107,0.05677,0.06462,0.07374
Exp15,0.17038,0.15149,0.01819,0.0256,0.03227,0.03808,0.04255,0.04661,0.0511,0.05687,0.06473,0.07385
Exp16,0.16923,0.15001,0.01811,0.02551,0.03208,0.03776,0.04233,0.04625,0.05047,0.05616,0.06398,0.0731
Exp17,0.16787,0.14861,0.01798,0.02524,0.03171,0.03727,0.04184,0.04569,0.0499,0.05559,0.06346,0.0727
Exp18,0.16612,0.14714,0.01805,0.02531,0.03173,0.03721,0.04153,0.04533,0.0495,0.05497,0.06259,0.07157
Exp19,0.16556,0.14525,0.01814,0.02527,0.03146,0.03671,0.04088,0.04455,0.04868,0.05415,0.06181,0.07081
Exp20,0.16495,0.14438,0.01826,0.02538,0.03147,0.03664,0.04078,0.04444,0.0484,0.05374,0.06125,0.07012
Exp21,0.16471,0.14353,0.01834,0.02542,0.03141,0.03643,0.04044,0.04402,0.048,0.05336,0.0609,0.0698
Exp22,0.16462,0.14257,0.0183,0.02532,0.03122,0.03618,0.04011,0.04367,0.04774,0.05306,0.06049,0.06924
Exp23,0.16409,0.14313,0.01825,0.02536,0.03136,0.03639,0.04027,0.04391,0.04801,0.0533,0.06071,0.06943
Exp24,0.16407,0.14342,0.0182,0.02535,0.0314,0.03651,0.04039,0.04411,0.04822,0.05345,0.06078,0.06944
Exp25,0.16415,0.14378,0.01817,0.02536,0.03141,0.03645,0.0405,0.0442,0.04821,0.05352,0.06101,0.06985
Exp26,0.16427,0.14296,0.01814,0.02528,0.03123,0.03615,0.04005,0.04367,0.0478,0.05321,0.06081,0.06973
Exp27,0.16407,0.14352,0.01802,0.02523,0.03125,0.03624,0.04018,0.04389,0.04807,0.0535,0.06109,0.07001
Exp28,0.16397,0.14295,0.01811,0.02516,0.03113,0.0361,0.04003,0.04376,0.04794,0.0533,0.06078,0.06965
Exp29,0.16276,0.14545,0.01806,0.02537,0.03157,0.03671,0.0408,0.0447,0.04886,0.05427,0.06184,0.07086
Exp30,0.16251,0.14653,0.01819,0.02554,0.03178,0.03698,0.04106,0.04505,0.04932,0.05477,0.0623,0.07129
