,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.16947,0.00531,0.16758,0.17137,0.16251,0.18215
TestRMSE,0.14867,0.00416,0.14718,0.15016,0.14257,0.15561
Step1,0.01855,0.00064,0.01832,0.01878,0.01798,0.0207
Step2,0.02574,0.00054,0.02555,0.02594,0.02516,0.02757
Step3,0.03212,0.0007,0.03187,0.03237,0.03113,0.03356
Step4,0.03759,0.00101,0.03722,0.03795,0.0361,0.03946
Step5,0.0419,0.00126,0.04145,0.04235,0.04003,0.04395
Step6,0.04567,0.00131,0.0452,0.04614,0.04367,0.0474
Step7,0.04984,0.00136,0.04935,0.05033,0.04774,0.05159
Step8,0.05552,0.00165,0.05493,0.05611,0.05306,0.05813
Step9,0.06334,0.00194,0.06265,0.06404,0.06049,0.06651
Step10,0.07233,0.00204,0.0716,0.07306,0.06924,0.07549
