,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.15,0.16288,0.0103,0.01748,0.03217,0.03388,0.04358,0.0499,0.05809,0.06662,0.07835,0.07479
Exp2,0.03729,0.03607,0.00441,0.00565,0.00647,0.00877,0.01101,0.01081,0.01304,0.01362,0.01488,0.01776
Exp3,0.0331,0.03229,0.00471,0.00529,0.00582,0.00754,0.00949,0.00934,0.01141,0.01193,0.01363,0.01631
Exp4,0.02992,0.02959,0.0045,0.00485,0.00493,0.00643,0.00839,0.00828,0.01057,0.01102,0.01273,0.01522
Exp5,0.0272,0.02726,0.00417,0.00437,0.00415,0.00545,0.00735,0.00742,0.00983,0.01039,0.01201,0.01421
Exp6,0.02512,0.02551,0.00356,0.00387,0.00369,0.00485,0.00656,0.00688,0.00919,0.00999,0.01149,0.0134
Exp7,0.02319,0.0238,0.00265,0.00313,0.00309,0.00424,0.00582,0.00628,0.0087,0.00946,0.01106,0.01269
Exp8,0.02198,0.02277,0.00216,0.00273,0.00297,0.00403,0.0053,0.00606,0.00825,0.00906,0.01074,0.01229
Exp9,0.02167,0.02259,0.00263,0.0033,0.00353,0.00463,0.00543,0.00639,0.00796,0.00892,0.0103,0.01179
Exp10,0.02039,0.02132,0.00186,0.00249,0.00294,0.00393,0.0049,0.00589,0.00752,0.00853,0.01002,0.01151
Exp11,0.02024,0.02124,0.00237,0.00299,0.00332,0.00434,0.00511,0.00609,0.00741,0.00843,0.0097,0.0111
Exp12,0.01929,0.02029,0.00171,0.00238,0.0029,0.00385,0.00471,0.00574,0.00709,0.00816,0.00947,0.01087
Exp13,0.0193,0.02029,0.00245,0.00312,0.00347,0.0044,0.00502,0.00596,0.00701,0.00802,0.00911,0.01038
Exp14,0.01797,0.01889,0.0015,0.00214,0.00268,0.00356,0.00434,0.00536,0.00653,0.00763,0.00884,0.01017
Exp15,0.01823,0.01917,0.002,0.00267,0.00314,0.00398,0.00465,0.00559,0.00661,0.00765,0.00873,0.00997
Exp16,0.01689,0.01781,0.00106,0.00156,0.00213,0.00297,0.00384,0.00491,0.00612,0.00729,0.00855,0.00988
Exp17,0.01788,0.01885,0.00238,0.00304,0.00342,0.0042,0.0048,0.00558,0.00649,0.0074,0.00839,0.00948
Exp18,0.01655,0.01755,0.00119,0.00181,0.00238,0.00321,0.00401,0.00498,0.00607,0.00715,0.00828,0.00948
Exp19,0.01639,0.01742,0.0013,0.00193,0.00249,0.00329,0.00406,0.00498,0.00603,0.00707,0.00817,0.00932
Exp20,0.01607,0.01705,0.00094,0.00141,0.00201,0.00281,0.00366,0.00469,0.00583,0.007,0.00821,0.00949
Exp21,0.01586,0.0169,0.0009,0.00146,0.00212,0.00287,0.0037,0.0047,0.00579,0.00692,0.0081,0.00933
Exp22,0.01598,0.01707,0.0014,0.00202,0.00261,0.00331,0.00406,0.0049,0.0059,0.00688,0.00795,0.00904
Exp23,0.01622,0.0173,0.0017,0.00232,0.00293,0.00355,0.00424,0.00503,0.00597,0.0069,0.00792,0.00898
Exp24,0.01538,0.01645,0.00086,0.00143,0.00218,0.00284,0.00365,0.0046,0.00565,0.00673,0.00786,0.00903
Exp25,0.01652,0.01757,0.00241,0.00297,0.0034,0.00399,0.00459,0.00519,0.00605,0.00682,0.00775,0.00868
Exp26,0.01568,0.01675,0.00174,0.00231,0.00285,0.00347,0.00416,0.00487,0.0058,0.00666,0.00765,0.00864
Exp27,0.01563,0.01669,0.00181,0.00236,0.00288,0.00349,0.00416,0.00486,0.00577,0.00661,0.00759,0.00857
Exp28,0.01598,0.01704,0.00238,0.0029,0.00331,0.00384,0.00443,0.005,0.00585,0.0066,0.00753,0.00846
Exp29,0.01448,0.01553,0.00071,0.00108,0.00181,0.00246,0.0033,0.00426,0.00531,0.00639,0.00753,0.00869
Exp30,0.01562,0.01667,0.00211,0.00263,0.00308,0.00361,0.00421,0.00485,0.00572,0.00653,0.00749,0.00845
