,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.18755,0.14292,0.01334,0.02368,0.0285,0.03354,0.03933,0.04371,0.04785,0.05488,0.06332,0.0706
Exp2,0.15587,0.12729,0.01003,0.01962,0.02584,0.03079,0.03598,0.04008,0.04196,0.04823,0.05463,0.06425
Exp3,0.14948,0.1217,0.00782,0.01619,0.02368,0.02936,0.03436,0.03813,0.04064,0.04668,0.05247,0.06201
Exp4,0.14546,0.11875,0.00637,0.01456,0.02242,0.02806,0.03332,0.03728,0.04027,0.04564,0.05148,0.06087
Exp5,0.14378,0.11725,0.00628,0.01417,0.02195,0.0275,0.03272,0.0368,0.03992,0.04504,0.05107,0.06013
Exp6,0.14258,0.11535,0.00657,0.01406,0.02172,0.02723,0.03225,0.03616,0.03958,0.04447,0.05019,0.05866
Exp7,0.14182,0.11483,0.00691,0.01412,0.02145,0.02706,0.03188,0.03572,0.03899,0.04445,0.05011,0.05872
Exp8,0.14125,0.11422,0.00694,0.01424,0.02146,0.02704,0.03177,0.03559,0.039,0.04402,0.04989,0.05813
Exp9,0.14075,0.11386,0.00686,0.01427,0.02144,0.02698,0.03165,0.03542,0.03893,0.04389,0.04977,0.0579
Exp10,0.14035,0.11365,0.00674,0.01424,0.02144,0.02694,0.03157,0.03528,0.03891,0.04386,0.04969,0.05773
Exp11,0.13985,0.11306,0.0068,0.01419,0.02138,0.02681,0.03137,0.03503,0.03873,0.04371,0.04943,0.05738
Exp12,0.13964,0.11288,0.00689,0.01417,0.02132,0.02672,0.03124,0.0349,0.0387,0.0437,0.04942,0.05729
Exp13,0.13951,0.11273,0.00699,0.01416,0.02126,0.02666,0.03113,0.0348,0.03869,0.04372,0.0494,0.05717
Exp14,0.13935,0.11253,0.00707,0.01414,0.02118,0.02659,0.03101,0.03468,0.03863,0.04373,0.04936,0.05704
Exp15,0.13919,0.11293,0.00714,0.01414,0.02117,0.02661,0.03103,0.03475,0.03882,0.04399,0.0496,0.05722
Exp16,0.1391,0.1131,0.00725,0.01415,0.02117,0.02664,0.03101,0.03477,0.03888,0.04411,0.04972,0.05728
Exp17,0.139,0.11345,0.00724,0.0142,0.02124,0.02676,0.03111,0.0349,0.039,0.04426,0.04989,0.05741
Exp18,0.13878,0.11343,0.00716,0.01423,0.0213,0.02681,0.03112,0.03491,0.03897,0.04421,0.04991,0.05735
Exp19,0.13865,0.11366,0.00704,0.01426,0.02136,0.02689,0.03119,0.035,0.03904,0.04428,0.05003,0.05745
Exp20,0.13859,0.1142,0.00686,0.01424,0.02137,0.02698,0.03137,0.03522,0.03929,0.04448,0.05026,0.05774
Exp21,0.13829,0.11412,0.00671,0.01427,0.02146,0.02708,0.03142,0.03527,0.03926,0.04437,0.05023,0.05759
Exp22,0.13803,0.1146,0.00661,0.01426,0.02147,0.02717,0.03156,0.03543,0.03947,0.04448,0.05049,0.05786
Exp23,0.13784,0.11437,0.00665,0.01436,0.02159,0.02726,0.03164,0.03548,0.03946,0.04427,0.05032,0.05755
Exp24,0.13762,0.11475,0.00659,0.01436,0.02167,0.02736,0.03172,0.03556,0.03954,0.04448,0.05055,0.05773
Exp25,0.1375,0.11474,0.00669,0.01442,0.02168,0.0274,0.03182,0.03567,0.03966,0.04433,0.05045,0.05765
Exp26,0.1373,0.11484,0.00681,0.01446,0.02177,0.02746,0.03182,0.03564,0.0396,0.04442,0.05054,0.05767
Exp27,0.13707,0.11517,0.00688,0.01447,0.02175,0.02748,0.03186,0.0357,0.03968,0.04462,0.05074,0.05788
Exp28,0.13686,0.11522,0.0068,0.0144,0.02166,0.02741,0.03186,0.03575,0.0398,0.04463,0.05073,0.05796
Exp29,0.13663,0.11563,0.00686,0.0144,0.02166,0.02743,0.03191,0.03583,0.03993,0.04486,0.05094,0.05823
Exp30,0.1364,0.11568,0.00667,0.01431,0.02159,0.02735,0.03182,0.03576,0.03992,0.04492,0.05102,0.05841
