,TrainRMSE,TestRMSE,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10
Exp1,0.55376,0.54543,0.16024,0.16221,0.16275,0.17344,0.1752,0.17716,0.17952,0.17848,0.17652,0.17781
Exp2,0.5374,0.5307,0.09965,0.15333,0.15801,0.17041,0.17339,0.17549,0.18612,0.17975,0.17554,0.18861
Exp3,0.53423,0.52331,0.12098,0.14703,0.1579,0.16841,0.17218,0.17604,0.17609,0.17717,0.17585,0.17421
Exp4,0.54844,0.53967,0.15523,0.15913,0.15932,0.17154,0.17451,0.17528,0.17917,0.17633,0.17808,0.17588
Exp5,0.54866,0.53895,0.1522,0.16386,0.15971,0.17071,0.17392,0.17531,0.17828,0.17942,0.1746,0.17425
Exp6,0.55145,0.53988,0.156,0.16254,0.16031,0.17245,0.17283,0.17412,0.17887,0.17848,0.175,0.17499
Exp7,0.54611,0.53838,0.14897,0.16081,0.16226,0.17196,0.17166,0.17671,0.17987,0.17759,0.17481,0.17539
Exp8,0.55133,0.54198,0.15798,0.16106,0.16577,0.1714,0.17178,0.17659,0.17801,0.17769,0.17634,0.17587
Exp9,0.55107,0.54054,0.15479,0.16663,0.15965,0.17327,0.17127,0.175,0.17855,0.17721,0.17543,0.17587
Exp10,0.53931,0.53252,0.13766,0.15565,0.15835,0.17163,0.17484,0.17617,0.17676,0.17918,0.17504,0.17401
Exp11,0.54981,0.53906,0.14849,0.16663,0.16057,0.17212,0.17169,0.17422,0.17893,0.17912,0.17505,0.17549
Exp12,0.54495,0.53512,0.15117,0.15811,0.15827,0.17038,0.17479,0.17431,0.17781,0.1767,0.17344,0.17482
Exp13,0.54923,0.53984,0.1422,0.16465,0.16492,0.16762,0.17288,0.17882,0.17799,0.17823,0.1772,0.17912
Exp14,0.54645,0.5369,0.14875,0.15939,0.16001,0.17451,0.1713,0.17578,0.17935,0.17691,0.17469,0.17452
Exp15,0.54583,0.53724,0.14992,0.15975,0.1605,0.17149,0.17369,0.17367,0.17778,0.17792,0.17522,0.17657
Exp16,0.52658,0.51977,0.09272,0.1439,0.15796,0.16556,0.17398,0.17621,0.17762,0.18165,0.17743,0.17648
Exp17,0.55225,0.54198,0.15483,0.16285,0.16324,0.17283,0.17346,0.17692,0.17702,0.17714,0.17529,0.1786
Exp18,0.54639,0.53827,0.15375,0.15942,0.16097,0.17002,0.17168,0.1781,0.17793,0.17766,0.17555,0.17501
Exp19,0.55188,0.54431,0.15309,0.17428,0.15997,0.17655,0.17371,0.17522,0.17879,0.17685,0.1749,0.17606
Exp20,0.54504,0.53501,0.14053,0.16404,0.16117,0.17002,0.17089,0.17337,0.17798,0.17798,0.17746,0.17491
Exp21,0.53441,0.52574,0.12767,0.14815,0.15778,0.16485,0.17297,0.17426,0.18064,0.17704,0.17611,0.17554
Exp22,0.55521,0.54461,0.15115,0.17708,0.16277,0.17267,0.17168,0.17359,0.17803,0.18156,0.17554,0.1761
Exp23,0.54681,0.53866,0.15408,0.15905,0.15958,0.17115,0.17573,0.17394,0.1786,0.17641,0.17567,0.17705
Exp24,0.54935,0.54017,0.15218,0.16108,0.16113,0.16994,0.17153,0.17783,0.17836,0.18105,0.17645,0.17626
Exp25,0.54853,0.54118,0.15236,0.16003,0.16321,0.17093,0.17499,0.17476,0.18031,0.17968,0.17732,0.17551
Exp26,0.55336,0.54627,0.15214,0.16563,0.16692,0.17805,0.17662,0.17689,0.17813,0.17727,0.1761,0.17781
Exp27,0.54371,0.53503,0.14487,0.15886,0.16112,0.17105,0.17221,0.17708,0.17743,0.17586,0.17482,0.17558
Exp28,0.55383,0.54241,0.15969,0.16072,0.16396,0.17331,0.17132,0.17828,0.17884,0.17729,0.17467,0.17577
Exp29,0.5508,0.54192,0.16449,0.16013,0.16089,0.17136,0.17323,0.17529,0.17863,0.17667,0.17545,0.17632
Exp30,0.55219,0.5402,0.15783,0.16295,0.16204,0.17083,0.1738,0.1783,0.17546,0.17759,0.17515,0.17297
