,TrainRMSE,TestRMSE,Time,Epochs
Exp1,0.09357077765069509,0.04540556815116341,22.215018033981323,1000.0
Exp2,0.1005936656123192,0.043539675801162546,22.005099773406982,1000.0
Exp3,0.09585788399209029,0.04427646256109935,22.436691999435425,1000.0
Exp4,0.09786268224412677,0.043837277488076545,24.262430429458618,1000.0
Exp5,0.09891322195629994,0.04571787748153715,23.949162006378174,1000.0
Exp6,0.09243983823378929,0.043012298662667606,23.606482982635498,1000.0
Exp7,0.10150219997462862,0.04408829485525441,23.302206993103027,1000.0
Exp8,0.09303536981684132,0.04531920994760563,25.072712182998657,1000.0
Exp9,0.09989767662067212,0.042960576195032026,25.003305912017822,1000.0
Exp10,0.0990739592396266,0.04500652961634315,23.959519863128662,1000.0
Exp11,0.09685436616537842,0.04530178596490036,23.967304229736328,1000.0
Exp12,0.100167071018788,0.04232778165134782,23.411189079284668,1000.0
Exp13,0.09948954803503553,0.04806496872146264,23.240061044692993,1000.0
Exp14,0.09180114509057226,0.04374691850776695,23.892353057861328,1000.0
Exp15,0.0896632143866248,0.04335710484269082,23.609165906906128,1000.0
Exp16,0.09362200056685575,0.043793113924394916,23.61413884162903,1000.0
Exp17,0.09466439076781047,0.04371760021699432,23.492411136627197,1000.0
Exp18,0.09808829356457681,0.04366527080074115,23.750473976135254,1000.0
Exp19,0.09600444279705708,0.04345192759379384,23.602314949035645,1000.0
Exp20,0.09868725872443287,0.04487197931466138,23.715739965438843,1000.0
Exp21,0.09525708220089836,0.04438381898664334,23.613035917282104,1000.0
Exp22,0.0945962234024465,0.04313458329470533,23.686584949493408,1000.0
Exp23,0.09437424240393055,0.04490829904566541,23.68712019920349,1000.0
Exp24,0.09380704506113241,0.044103168370626646,23.62584900856018,1000.0
Exp25,0.09237923740214989,0.04377417578051203,23.54282283782959,1000.0
Exp26,0.0979974509499458,0.04434690776381089,24.31946110725403,1000.0
Exp27,0.0963885961157616,0.04319571183832182,23.803282260894775,1000.0
Exp28,0.09704200914992107,0.04568145182244182,22.776283264160156,1000.0
Exp29,0.09458714428600674,0.04417911632295898,23.76092004776001,1000.0
Exp30,0.09615074024314751,0.04359780597808196,22.081369876861572,1000.0
