,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.05381,0.02547,0.0447,0.06293,0.03595,0.16004
TestRMSE,0.05417,0.02699,0.04452,0.06383,0.03528,0.16766
Step1,0.01129,0.00372,0.00996,0.01262,0.00657,0.02142
Step2,0.01286,0.00322,0.01171,0.01401,0.00757,0.02205
Step3,0.01432,0.00446,0.01272,0.01591,0.00723,0.03008
Step4,0.01511,0.00512,0.01328,0.01695,0.00962,0.03713
Step5,0.01554,0.00684,0.01309,0.01799,0.00742,0.04368
Step6,0.01643,0.00818,0.0135,0.01935,0.00753,0.04962
Step7,0.01709,0.01007,0.01349,0.0207,0.00848,0.05938
Step8,0.01864,0.01177,0.01443,0.02285,0.00921,0.06501
Step9,0.01989,0.01368,0.015,0.02479,0.01168,0.07453
Step10,0.02265,0.01629,0.01682,0.02849,0.01434,0.08582
