,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.18099,0.02722,0.17125,0.19073,0.13088,0.24094
TestRMSE,0.18218,0.02752,0.17233,0.19203,0.13161,0.24292
Step1,0.0162,0.01026,0.01252,0.01987,0.00594,0.04124
Step2,0.02559,0.0107,0.02176,0.02942,0.01302,0.04708
Step3,0.03985,0.01419,0.03478,0.04493,0.02172,0.0748
Step4,0.04565,0.01265,0.04113,0.05018,0.02825,0.07013
Step5,0.05205,0.01232,0.04764,0.05646,0.03653,0.08849
Step6,0.05808,0.01163,0.05392,0.06224,0.04245,0.08102
Step7,0.06804,0.01323,0.0633,0.07278,0.04987,0.10255
Step8,0.07265,0.01402,0.06764,0.07767,0.05419,0.09854
Step9,0.07608,0.01272,0.07152,0.08063,0.05813,0.10447
Step10,0.07767,0.01207,0.07335,0.08198,0.06113,0.10659
