,Dataset,Method,TrainRMSE-Mean,TrainRMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,TestRMSE-Mean,TestRMSE-Std,Test-CI-LB,Test-CI-UB,TestRMSE-Min,Step1RMSE-Mean,Step1RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1RMSE-Min,Step2RMSE-Mean,Step2RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2RMSE-Min,Step3RMSE-Mean,Step3RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3RMSE-Min,Step4RMSE-Mean,Step4RMSE-Std,Step4-CI-LB,Step4-CI-UB,Step4RMSE-Min,Step5RMSE-Mean,Step5RMSE-Std,Step5-CI-LB,Step5-CI-UB,Step5RMSE-Min,Step6RMSE-Mean,Step6RMSE-Std,Step6-CI-LB,Step6-CI-UB,Step6RMSE-Min,Step7RMSE-Mean,Step7RMSE-Std,Step7-CI-LB,Step7-CI-UB,Step7RMSE-Min,Step8RMSE-Mean,Step8RMSE-Std,Step8-CI-LB,Step8-CI-UB,Step8RMSE-Min,Step9RMSE-Mean,Step9RMSE-Std,Step9-CI-LB,Step9-CI-UB,Step9RMSE-Min,Step10RMSE-Mean,Step10RMSE-Std,Step10-CI-LB,Step10-CI-UB,Step10RMSE-Min
31,Henon,FNN-SGD,0.56701,0.00413,0.56553,0.56849,0.55932,0.55775,0.00452,0.55613,0.55937,0.54915,0.17253,0.00853,0.16948,0.17558,0.15508,0.17113,0.00489,0.16938,0.17288,0.16152,0.17069,0.00465,0.16903,0.17235,0.16215,0.17597,0.00312,0.17485,0.17708,0.17016,0.17694,0.00193,0.17625,0.17763,0.17295,0.17772,0.00273,0.17674,0.17869,0.17449,0.1814,0.00245,0.18052,0.18228,0.178,0.1805,0.00339,0.17929,0.18172,0.17602,0.17875,0.0032,0.1776,0.17989,0.17414,0.17734,0.00296,0.17628,0.1784,0.17331
32,Henon,LSTM,0.45424,0.0199,0.44712,0.46136,0.43417,0.45164,0.01443,0.44648,0.45681,0.43778,0.0287,0.01261,0.02419,0.03321,0.01956,0.06825,0.01619,0.06246,0.07404,0.05987,0.09198,0.01844,0.08538,0.09858,0.07888,0.13862,0.01235,0.1342,0.14304,0.12174,0.15844,0.00265,0.1575,0.15939,0.15386,0.16417,0.00207,0.16342,0.16491,0.16136,0.1684,0.00295,0.16734,0.16946,0.16427,0.17073,0.00232,0.1699,0.17156,0.16875,0.17227,0.00129,0.17181,0.17273,0.17074,0.17565,0.00135,0.17516,0.17613,0.17366
33,Henon,BD-LSTM,0.40144,0.02785,0.39148,0.41141,0.37014,0.41271,0.01856,0.40607,0.41935,0.39542,0.0241,0.004,0.02267,0.02553,0.01963,0.04478,0.00729,0.04217,0.04739,0.03216,0.06095,0.02156,0.05323,0.06867,0.04567,0.09246,0.02149,0.08477,0.10015,0.07233,0.12867,0.01298,0.12403,0.13332,0.11157,0.15379,0.00485,0.15206,0.15553,0.14902,0.15929,0.0046,0.15764,0.16094,0.15488,0.16974,0.00213,0.16898,0.1705,0.16694,0.17375,0.00126,0.1733,0.1742,0.17156,0.17328,0.00084,0.17298,0.17358,0.17147
34,Henon,ED-LSTM,0.32346,0.08834,0.29184,0.35507,0.19976,0.32938,0.08117,0.30033,0.35843,0.21344,0.02258,0.01085,0.0187,0.02647,0.01231,0.04536,0.01925,0.03847,0.05224,0.03045,0.05168,0.03407,0.03949,0.06387,0.02974,0.0609,0.04298,0.04552,0.07628,0.02722,0.0694,0.0451,0.05326,0.08554,0.02933,0.08677,0.04619,0.07024,0.10329,0.03873,0.11203,0.03883,0.09813,0.12593,0.05875,0.13713,0.0299,0.12643,0.14782,0.08034,0.15241,0.02144,0.14474,0.16009,0.10697,0.16887,0.01275,0.16431,0.17343,0.13498
35,Henon,RNN,0.52473,0.00755,0.52203,0.52743,0.51497,0.51619,0.00751,0.5135,0.51888,0.50614,0.08851,0.02606,0.07919,0.09784,0.05462,0.15146,0.00436,0.1499,0.15302,0.14478,0.15771,0.00081,0.15742,0.158,0.15636,0.16431,0.00296,0.16325,0.16537,0.15972,0.17178,0.00041,0.17163,0.17192,0.17109,0.17303,0.00084,0.17273,0.17333,0.17179,0.17636,0.00072,0.17611,0.17662,0.17517,0.17683,0.00025,0.17674,0.17692,0.17638,0.17519,0.00025,0.1751,0.17528,0.17484,0.17506,0.00055,0.17486,0.17525,0.17404
36,ACFinance,FNN-Adam,0.16284,0.00347,0.1616,0.16408,0.15727,0.08849,0.00314,0.08736,0.08961,0.08467,0.01647,0.00313,0.01535,0.01759,0.01289,0.02028,0.00343,0.01905,0.0215,0.01635,0.0217,0.00227,0.02089,0.02251,0.01885,0.02492,0.00246,0.02403,0.0258,0.02211,0.02724,0.00229,0.02642,0.02806,0.02422,0.0289,0.00163,0.02832,0.02948,0.02642,0.03113,0.00128,0.03067,0.03159,0.02891,0.03229,0.00109,0.0319,0.03268,0.02963,0.03389,0.00135,0.0334,0.03437,0.03115,0.03575,0.00231,0.03492,0.03657,0.03344
37,ACFinance,FNN-SGD,0.17033,0.00511,0.1685,0.17216,0.15918,0.0988,0.01107,0.09484,0.10276,0.08536,0.02092,0.00616,0.01871,0.02312,0.01431,0.02417,0.00545,0.02222,0.02612,0.01647,0.0266,0.0088,0.02345,0.02975,0.01953,0.02774,0.00633,0.02548,0.03,0.02223,0.02989,0.00413,0.02841,0.03137,0.02538,0.03249,0.00451,0.03088,0.0341,0.02749,0.03422,0.00563,0.0322,0.03623,0.02866,0.03498,0.00576,0.03292,0.03704,0.03063,0.03568,0.00338,0.03448,0.03689,0.03212,0.03802,0.00496,0.03624,0.03979,0.03319
38,ACFinance,LSTM,0.14707,0.00388,0.14568,0.14846,0.14415,0.086,0.00696,0.08351,0.08849,0.07921,0.0127,0.00095,0.01236,0.01304,0.01183,0.01677,0.0008,0.01648,0.01706,0.01589,0.019,0.00099,0.01865,0.01935,0.018,0.02201,0.00115,0.0216,0.02242,0.02091,0.02477,0.00164,0.02418,0.02536,0.02323,0.02811,0.00224,0.02731,0.02891,0.02581,0.03021,0.00239,0.02935,0.03106,0.02812,0.03332,0.00285,0.0323,0.03434,0.03012,0.03639,0.00374,0.03505,0.03773,0.03204,0.03674,0.00415,0.03525,0.03822,0.03299
39,ACFinance,BD-LSTM,0.14543,0.00584,0.14334,0.14752,0.13693,0.0915,0.00649,0.08918,0.09383,0.08005,0.01266,0.00054,0.01247,0.01286,0.01181,0.01648,0.00057,0.01627,0.01668,0.01578,0.01935,0.00049,0.01917,0.01952,0.01836,0.02288,0.00092,0.02255,0.02321,0.02164,0.02533,0.00105,0.02495,0.0257,0.02382,0.02922,0.00206,0.02848,0.02995,0.02604,0.03309,0.00282,0.03208,0.0341,0.02843,0.03562,0.00291,0.03458,0.03667,0.03083,0.03875,0.00318,0.03761,0.03989,0.03276,0.0409,0.00428,0.03937,0.04244,0.03342
40,ACFinance,ED-LSTM,0.14369,0.00534,0.14178,0.1456,0.13499,0.09226,0.00908,0.08902,0.09551,0.07999,0.01304,0.00146,0.01252,0.01356,0.01181,0.01708,0.00087,0.01677,0.01739,0.016,0.02038,0.00173,0.01976,0.021,0.0185,0.02386,0.00234,0.02302,0.0247,0.02128,0.0271,0.00292,0.02605,0.02815,0.02383,0.03023,0.0034,0.02901,0.03144,0.02598,0.03339,0.00376,0.03205,0.03474,0.02839,0.03593,0.00379,0.03458,0.03729,0.03057,0.03797,0.00383,0.0366,0.03934,0.03234,0.03953,0.00387,0.03814,0.04091,0.03371
41,ACFinance,RNN,0.19297,0.0051,0.19114,0.19479,0.18407,0.09365,0.0024,0.09279,0.09451,0.08757,0.01731,0.00111,0.01691,0.0177,0.01436,0.0202,0.0009,0.01987,0.02052,0.01846,0.02283,0.00089,0.02251,0.02315,0.02087,0.02577,0.00101,0.02541,0.02613,0.02346,0.02841,0.0012,0.02798,0.02884,0.02579,0.03041,0.00108,0.03003,0.0308,0.02829,0.03273,0.00104,0.03235,0.0331,0.03079,0.03485,0.00103,0.03448,0.03522,0.03314,0.03711,0.00095,0.03677,0.03745,0.03433,0.03844,0.00091,0.03812,0.03877,0.03586
