,Dataset,Method,TrainRMSE-Mean,TrainRMSE-Std,Train-CI-LB,Train-CI-UB,TrainRMSE-Min,TestRMSE-Mean,TestRMSE-Std,Test-CI-LB,Test-CI-UB,TestRMSE-Min,Step1RMSE-Mean,Step1RMSE-Std,Step1-CI-LB,Step1-CI-UB,Step1RMSE-Min,Step2RMSE-Mean,Step2RMSE-Std,Step2-CI-LB,Step2-CI-UB,Step2RMSE-Min,Step3RMSE-Mean,Step3RMSE-Std,Step3-CI-LB,Step3-CI-UB,Step3RMSE-Min,Step4RMSE-Mean,Step4RMSE-Std,Step4-CI-LB,Step4-CI-UB,Step4RMSE-Min,Step5RMSE-Mean,Step5RMSE-Std,Step5-CI-LB,Step5-CI-UB,Step5RMSE-Min,Step6RMSE-Mean,Step6RMSE-Std,Step6-CI-LB,Step6-CI-UB,Step6RMSE-Min,Step7RMSE-Mean,Step7RMSE-Std,Step7-CI-LB,Step7-CI-UB,Step7RMSE-Min,Step8RMSE-Mean,Step8RMSE-Std,Step8-CI-LB,Step8-CI-UB,Step8RMSE-Min,Step9RMSE-Mean,Step9RMSE-Std,Step9-CI-LB,Step9-CI-UB,Step9RMSE-Min,Step10RMSE-Mean,Step10RMSE-Std,Step10-CI-LB,Step10-CI-UB,Step10RMSE-Min
10,Sunspot,ED-LSTM,0.12095,0.01581,0.11529,0.12661,0.09573,0.13224,0.00896,0.12903,0.13544,0.11819,0.01091,0.00162,0.01034,0.01149,0.00922,0.01699,0.00111,0.0166,0.01739,0.01579,0.02366,0.00084,0.02336,0.02396,0.02212,0.02921,0.00097,0.02886,0.02955,0.02789,0.03477,0.00115,0.03436,0.03518,0.03294,0.04021,0.00169,0.0396,0.04082,0.03729,0.04582,0.00304,0.04473,0.04691,0.04114,0.05186,0.00454,0.05023,0.05348,0.04456,0.05905,0.00569,0.05702,0.06109,0.04969,0.06733,0.00619,0.06512,0.06955,0.05659
11,Sunspot,RNN,0.18748,0.00309,0.18638,0.18859,0.18085,0.13423,0.00115,0.13382,0.13464,0.13207,0.0132,0.00105,0.01282,0.01358,0.0105,0.02119,0.0008,0.0209,0.02148,0.01987,0.02847,0.00051,0.02828,0.02865,0.02705,0.03459,0.00056,0.03439,0.03479,0.03353,0.03946,0.00049,0.03929,0.03964,0.03847,0.04311,0.00065,0.04288,0.04334,0.04167,0.0463,0.0006,0.04609,0.04652,0.04514,0.05029,0.00064,0.05006,0.05052,0.04919,0.05644,0.00071,0.05619,0.05669,0.05506,0.06411,0.00073,0.06385,0.06437,0.06295
12,Mackey,FNN-Adam,0.18099,0.02722,0.17125,0.19073,0.13088,0.18218,0.02752,0.17233,0.19203,0.13161,0.0162,0.01026,0.01252,0.01987,0.00594,0.02559,0.0107,0.02176,0.02942,0.01302,0.03985,0.01419,0.03478,0.04493,0.02172,0.04565,0.01265,0.04113,0.05018,0.02825,0.05205,0.01232,0.04764,0.05646,0.03653,0.05808,0.01163,0.05392,0.06224,0.04245,0.06804,0.01323,0.0633,0.07278,0.04987,0.07265,0.01402,0.06764,0.07767,0.05419,0.07608,0.01272,0.07152,0.08063,0.05813,0.07767,0.01207,0.07335,0.08198,0.06113
13,Mackey,FNN-SGD,0.2576,0.01491,0.25227,0.26294,0.216,0.25986,0.01514,0.25445,0.26528,0.21774,0.04852,0.01698,0.04244,0.05459,0.01619,0.06208,0.01435,0.05694,0.06721,0.0374,0.06862,0.01291,0.064,0.07324,0.04939,0.0745,0.01382,0.06955,0.07944,0.0475,0.07851,0.00701,0.076,0.08102,0.0663,0.08796,0.00872,0.08484,0.09108,0.07009,0.09122,0.00851,0.08818,0.09427,0.07317,0.09368,0.00604,0.09152,0.09584,0.07805,0.09632,0.00867,0.09322,0.09942,0.07805,0.09903,0.00713,0.09648,0.10158,0.0867
14,Mackey,LSTM,0.08903,0.02121,0.08144,0.09662,0.06604,0.0897,0.0209,0.08222,0.09718,0.06662,0.00564,0.00308,0.00453,0.00674,0.0025,0.00801,0.00405,0.00656,0.00946,0.00431,0.01205,0.00506,0.01024,0.01387,0.00676,0.01783,0.00558,0.01583,0.01982,0.01244,0.02384,0.00678,0.02141,0.02626,0.01515,0.02976,0.00689,0.02729,0.03222,0.02261,0.03413,0.00772,0.03137,0.03689,0.02538,0.03807,0.00809,0.03518,0.04097,0.02784,0.04058,0.00845,0.03756,0.0436,0.03085,0.04185,0.00924,0.03854,0.04515,0.03064
15,Mackey,BD-LSTM,0.07499,0.01865,0.06832,0.08167,0.04832,0.07649,0.01895,0.06971,0.08327,0.04913,0.00516,0.0024,0.0043,0.00602,0.0021,0.00832,0.00407,0.00687,0.00978,0.00372,0.01166,0.00533,0.00976,0.01357,0.00536,0.01553,0.00634,0.01326,0.0178,0.00763,0.02023,0.00722,0.01765,0.02281,0.01052,0.02441,0.00746,0.02174,0.02708,0.01414,0.02883,0.00767,0.02609,0.03158,0.01783,0.03179,0.00761,0.02907,0.03452,0.02125,0.03432,0.00753,0.03163,0.03702,0.02375,0.03586,0.00732,0.03323,0.03848,0.02546
16,Mackey,ED-LSTM,0.05867,0.02509,0.04969,0.06765,0.02507,0.06018,0.02527,0.05113,0.06922,0.02689,0.0059,0.00284,0.00489,0.00692,0.00325,0.00764,0.00392,0.00623,0.00904,0.00332,0.01026,0.0055,0.00829,0.01223,0.00464,0.01329,0.00678,0.01087,0.01572,0.00605,0.01675,0.00764,0.01402,0.01949,0.00803,0.02001,0.00852,0.01697,0.02306,0.00931,0.02273,0.00933,0.01939,0.02607,0.01029,0.02475,0.01007,0.02114,0.02835,0.01098,0.02609,0.01073,0.02225,0.02993,0.01122,0.02713,0.0111,0.02315,0.0311,0.01183
17,Mackey,RNN,0.13172,0.00084,0.13141,0.13202,0.13007,0.1321,0.00089,0.13178,0.13241,0.13036,0.00776,0.00036,0.00763,0.00789,0.00677,0.01419,0.0004,0.01405,0.01433,0.01344,0.02139,0.00041,0.02125,0.02154,0.02057,0.02895,0.00036,0.02882,0.02908,0.02832,0.03649,0.00037,0.03636,0.03662,0.03578,0.04342,0.00036,0.04329,0.04355,0.04252,0.04962,0.00035,0.04949,0.04974,0.04873,0.0547,0.00038,0.05456,0.05483,0.0538,0.05864,0.0004,0.0585,0.05878,0.05768,0.0615,0.00041,0.06135,0.06165,0.06044
18,Lorenz,FNN-Adam,0.19318,0.03475,0.18074,0.20562,0.11736,0.18087,0.03326,0.16896,0.19277,0.11312,0.01827,0.01189,0.01402,0.02252,0.00419,0.02059,0.01278,0.01602,0.02517,0.00698,0.02533,0.01197,0.02105,0.02961,0.01086,0.03335,0.0133,0.02859,0.03811,0.00905,0.04811,0.02008,0.04093,0.0553,0.02325,0.05268,0.02114,0.04512,0.06025,0.02205,0.06132,0.01779,0.05495,0.06769,0.02501,0.06782,0.01627,0.062,0.07364,0.02863,0.08846,0.01667,0.08249,0.09443,0.0583,0.08586,0.01804,0.0794,0.09232,0.04816
19,Lorenz,FNN-SGD,0.27609,0.01331,0.27132,0.28085,0.25092,0.26494,0.01337,0.26016,0.26973,0.23861,0.03363,0.00973,0.03015,0.03711,0.01627,0.04321,0.00847,0.04018,0.04624,0.02686,0.05468,0.00769,0.05193,0.05743,0.03397,0.06506,0.00881,0.06191,0.06821,0.04952,0.07872,0.00841,0.07571,0.08172,0.06312,0.08658,0.00926,0.08327,0.0899,0.06316,0.09441,0.00868,0.0913,0.09751,0.07314,0.10269,0.00691,0.10021,0.10516,0.08877,0.11155,0.00745,0.10888,0.11421,0.09715,0.11777,0.0073,0.11516,0.12038,0.09868
20,Lorenz,LSTM,0.0242,0.024,0.01561,0.03279,0.01448,0.02535,0.02602,0.01604,0.03466,0.01553,0.00246,0.00182,0.00181,0.00311,0.00071,0.00326,0.00286,0.00223,0.00428,0.00108,0.00416,0.0053,0.00227,0.00606,0.00181,0.00513,0.00551,0.00316,0.0071,0.00246,0.00642,0.00712,0.00387,0.00897,0.0033,0.00731,0.00804,0.00444,0.01019,0.00426,0.00892,0.00932,0.00558,0.01225,0.00531,0.01008,0.01064,0.00627,0.01389,0.00639,0.01167,0.01253,0.00718,0.01615,0.00749,0.01293,0.01174,0.00873,0.01713,0.00845
