,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.33708,0.00737,0.33444,0.33972,0.32485,0.35605
TestRMSE,0.25375,0.00659,0.25139,0.25611,0.24017,0.26803
Step1,0.07463,0.00749,0.07195,0.07731,0.05854,0.09247
Step2,0.10426,0.00509,0.10244,0.10608,0.09637,0.11391
Step3,0.08198,0.00711,0.07944,0.08453,0.07033,0.09839
Step4,0.07638,0.00463,0.07472,0.07804,0.06734,0.08706
Step5,0.07605,0.00519,0.07419,0.07791,0.06587,0.09099
Step6,0.06906,0.00356,0.06779,0.07033,0.0628,0.07863
Step7,0.06319,0.00373,0.06186,0.06453,0.05503,0.07179
Step8,0.06423,0.00563,0.06222,0.06625,0.05459,0.08123
Step9,0.08906,0.00588,0.08696,0.09117,0.07689,0.10305
Step10,0.0924,0.00499,0.09061,0.09419,0.07693,0.10359
