,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.03001,0.03544,0.01733,0.0427,0.01098,0.19601
TestRMSE,0.03104,0.0382,0.01737,0.04471,0.01255,0.21286
Step1,0.00431,0.00531,0.00241,0.00621,0.00162,0.03075
Step2,0.00545,0.00731,0.00283,0.00806,0.00174,0.04051
Step3,0.00644,0.00858,0.00337,0.00951,0.0019,0.04687
Step4,0.00742,0.00989,0.00389,0.01096,0.00226,0.05384
Step5,0.00789,0.01016,0.00425,0.01153,0.00261,0.05759
Step6,0.00942,0.01273,0.00487,0.01398,0.00328,0.07102
Step7,0.01068,0.01301,0.00603,0.01534,0.00409,0.07313
Step8,0.01251,0.01603,0.00678,0.01825,0.005,0.08613
Step9,0.01326,0.0158,0.00761,0.01891,0.00589,0.08758
Step10,0.01461,0.01651,0.0087,0.02052,0.00692,0.09397
